piid,round,readings
0,0,0.00114475,
0,1,0.000935832,
0,2,0.00101767,
0,3,0.00115133,
0,4,0.00102083,
0,5,0.00119242,
0,6,0.00093525,
0,7,0.00102875,
0,8,0.001069,
0,9,0.00111033,
0,10,0.00110683,
0,11,0.000942918,
0,12,0.000982,
0,13,0.000973916,
0,14,0.00096425,
0,15,0.000927916,
0,16,0.000917166,
0,17,0.00094,
0,18,0.000929834,
0,19,0.00095725,
0,20,0.00121942,
0,21,0.00096625,
0,22,0.000923334,
0,23,0.000991668,
0,24,0.000951916,
0,25,0.000954834,
0,26,0.00090375,
0,27,0.00158258,
0,28,0.0009705,
0,29,0.0010265,
0,30,0.000932832,
0,31,0.000911668,
0,32,0.000961416,
0,33,0.000988584,
