round,work_amount,round_duration
0,0,10000000
1,0,10000000
2,0,20000000
3,0,10000000
4,0,20000000
5,0,10000000
6,0,20000000
7,0,10000000
8,0,10000000
9,0,20000000
10,0,10000000
11,0,20000000
12,0,20000000
13,0,10000000
14,0,20000000
15,0,10000000
16,0,20000000
17,0,10000000
18,0,20000000
19,0,10000000
20,0,20000000
21,0,20000000
22,0,20000000
23,0,10000000
24,0,20000000
25,0,10000000
26,0,20000000
27,0,10000000
28,0,20000000
29,0,10000000
30,0,20000000
31,0,20000000
32,0,10000000
33,0,20000000
34,0,10000000
35,0,20000000
36,0,10000000
37,0,20000000
38,0,10000000
39,0,20000000
40,0,10000000
41,0,20000000
42,0,10000000
43,0,20000000
44,0,10000000
45,0,20000000
46,0,10000000
47,0,10000000
48,0,20000000
49,0,10000000
50,0,20000000
51,0,10000000
52,0,20000000
53,0,10000000
54,0,10000000
55,0,10000000
56,0,10000000
57,0,20000000
58,0,10000000
59,0,20000000
60,0,10000000
61,0,20000000
62,0,10000000
63,0,20000000
64,0,10000000
65,0,20000000
66,0,10000000
67,0,30000000
68,0,10000000
69,0,20000000
70,0,10000000
71,0,20000000
72,0,10000000
73,0,20000000
74,0,10000000
75,0,20000000
76,0,10000000
77,0,20000000
78,0,10000000
79,0,10000000
80,0,20000000
81,0,10000000
82,0,20000000
83,0,10000000
84,0,20000000
85,0,20000000
86,0,10000000
87,0,20000000
88,0,10000000
89,0,20000000
90,0,10000000
91,0,20000000
92,0,10000000
93,0,20000000
94,0,10000000
95,0,20000000
96,0,10000000
97,0,10000000
98,0,20000000
99,0,10000000
100,0,20000000
101,0,10000000
102,0,10000000
103,0,20000000
104,0,10000000
105,0,20000000
106,0,10000000
107,0,10000000
108,0,10000000
109,0,10000000
110,0,20000000
111,0,10000000
112,0,20000000
113,0,10000000
114,0,10000000
115,0,20000000
116,0,10000000
117,0,20000000
118,0,10000000
119,0,20000000
120,0,10000000
121,0,20000000
122,0,10000000
123,0,20000000
124,0,10000000
125,0,20000000
126,0,10000000
127,0,20000000
128,0,20000000
129,0,10000000
130,0,20000000
131,0,10000000
132,0,20000000
133,0,10000000
134,0,10000000
135,0,20000000
136,0,10000000
137,0,20000000
138,0,20000000
139,0,10000000
140,0,20000000
141,0,10000000
142,0,20000000
143,0,10000000
144,0,10000000
145,0,20000000
146,0,10000000
147,0,20000000
148,0,10000000
149,0,20000000
150,0,10000000
151,0,20000000
152,0,10000000
153,0,20000000
154,0,10000000
155,0,20000000
156,0,10000000
157,0,10000000
158,0,20000000
159,0,10000000
160,0,20000000
161,0,10000000
162,0,20000000
163,0,10000000
164,0,10000000
165,0,20000000
166,0,10000000
167,0,20000000
168,0,10000000
169,0,20000000
170,0,10000000
171,0,20000000
172,0,10000000
173,0,20000000
174,0,10000000
175,0,20000000
176,0,10000000
177,0,10000000
178,0,20000000
179,0,10000000
180,0,20000000
181,0,10000000
182,0,20000000
183,0,10000000
184,0,20000000
185,0,20000000
186,0,10000000
187,0,10000000
188,0,20000000
189,0,10000000
190,0,20000000
191,0,10000000
192,0,20000000
193,0,10000000
194,0,20000000
195,0,10000000
196,0,20000000
197,0,10000000
198,0,20000000
199,0,10000000
200,0,20000000
201,0,10000000
202,0,20000000
203,0,10000000
204,0,20000000
205,0,10000000
206,0,20000000
207,0,10000000
208,0,10000000
209,0,20000000
