piid,round,readings
0,0,0.223513,
0,1,0.239966,
0,2,0.251239,
0,3,0.240539,
0,4,0.232373,
0,5,0.224697,
0,6,0.212899,
0,7,0.223585,
0,8,0.215179,
0,9,0.222272,
0,10,0.216684,
0,11,0.232735,
0,12,0.22699,
0,13,0.216621,
0,14,0.229432,
0,15,0.230485,
0,16,0.224893,
0,17,0.22621,
0,18,0.244258,
0,19,0.222893,
0,20,0.218082,
0,21,0.236255,
0,22,0.233943,
0,23,0.232915,
0,24,0.228943,
0,25,0.228042,
0,26,0.212965,
0,27,0.213668,
0,28,0.224038,
0,29,0.224662,
0,30,0.238362,
0,31,0.21574,
0,32,0.212148,
0,33,0.21232,
0,34,0.270063,
0,35,0.221726,
