round,work_amount,round_duration
0,0,120000000
1,0,120000000
2,0,130000000
3,0,120000000
4,0,120000000
5,0,120000000
6,0,110000000
7,0,110000000
8,0,110000000
9,0,120000000
10,0,110000000
11,0,120000000
12,0,110000000
13,0,110000000
14,0,120000000
15,0,120000000
16,0,120000000
17,0,110000000
18,0,130000000
19,0,110000000
20,0,110000000
21,0,120000000
22,0,120000000
23,0,120000000
24,0,120000000
25,0,120000000
26,0,110000000
27,0,110000000
28,0,110000000
29,0,120000000
30,0,120000000
31,0,110000000
32,0,110000000
33,0,110000000
34,0,140000000
35,0,110000000
