piid,round,readings
0,0,0.150762,
0,1,0.153084,
0,2,0.149815,
0,3,0.151871,
0,4,0.14587,
0,5,0.145088,
0,6,0.142443,
0,7,0.14611,
0,8,0.152284,
0,9,0.146914,
0,10,0.145818,
0,11,0.145785,
0,12,0.1579,
0,13,0.152395,
0,14,0.150367,
0,15,0.162655,
0,16,0.152855,
0,17,0.144867,
0,18,0.153767,
0,19,0.159861,
0,20,0.153423,
0,21,0.157532,
0,22,0.151251,
0,23,0.140968,
0,24,0.15081,
0,25,0.147183,
0,26,0.160327,
0,27,0.149409,
0,28,0.155849,
0,29,0.175708,
0,30,0.156131,
0,31,0.152751,
0,32,0.172762,
0,33,0.16303,
0,34,0.160514,
0,35,0.153937,
0,36,0.156183,
0,37,0.155812,
0,38,0.147273,
0,39,0.151152,
0,40,0.145782,
0,41,0.150607,
0,42,0.153622,
0,43,0.147452,
0,44,0.148901,
0,45,0.150171,
0,46,0.141221,
0,47,0.15179,
0,48,0.147721,
0,49,0.146704,
0,50,0.157649,
0,51,0.16721,
0,52,0.161486,
0,53,0.15392,
0,54,0.149786,
0,55,0.154581,
0,56,0.151699,
0,57,0.156468,
0,58,0.157986,
0,59,0.177037,
0,60,0.156915,
0,61,0.152023,
0,62,0.160458,
0,63,0.151303,
0,64,0.153189,
0,65,0.15149,
0,66,0.154966,
0,67,0.151311,
0,68,0.149282,
0,69,0.148045,
0,70,0.147594,
0,71,0.162044,
0,72,0.161645,
0,73,0.15207,
0,74,0.150833,
0,75,0.145354,
0,76,0.147599,
0,77,0.153897,
0,78,0.147352,
0,79,0.155041,
0,80,0.146645,
0,81,0.143698,
0,82,0.139008,
0,83,0.14287,
0,84,0.139878,
0,85,0.151674,
0,86,0.161525,
0,87,0.141076,
0,88,0.149853,
0,89,0.143513,
0,90,0.138183,
0,91,0.147374,
0,92,0.161757,
0,93,0.138608,
0,94,0.140049,
0,95,0.1444,
0,96,0.145578,
0,97,0.145195,
0,98,0.15387,
0,99,0.144991,
0,100,0.149129,
0,101,0.14514,
0,102,0.151487,
0,103,0.149939,
0,104,0.155213,
0,105,0.151787,
0,106,0.158113,
0,107,0.153073,
0,108,0.155716,
0,109,0.160654,
0,110,0.140841,
0,111,0.146987,
0,112,0.145455,
0,113,0.144579,
0,114,0.143643,
0,115,0.142626,
0,116,0.145608,
0,117,0.140553,
0,118,0.145307,
0,119,0.154748,
0,120,0.149281,
0,121,0.158016,
0,122,0.146763,
0,123,0.150614,
0,124,0.143226,
0,125,0.14906,
0,126,0.192635,
