piid,round,readings
0,0,0.0868917,
0,1,0.0951707,
0,2,0.0877273,
0,3,0.0874903,
0,4,0.0884693,
0,5,0.087739,
0,6,0.0875537,
0,7,0.086084,
0,8,0.0864233,
0,9,0.086773,
0,10,0.0851027,
0,11,0.0866903,
0,12,0.0866333,
0,13,0.0844547,
0,14,0.0848813,
0,15,0.0849317,
0,16,0.0878297,
0,17,0.0875387,
0,18,0.0867317,
0,19,0.090968,
0,20,0.093477,
0,21,0.0871957,
0,22,0.0898823,
0,23,0.0893407,
0,24,0.0884207,
0,25,0.088777,
0,26,0.0900847,
0,27,0.0855823,
0,28,0.0903263,
0,29,0.0969637,
0,30,0.0943537,
0,31,0.0911963,
0,32,0.0871523,
0,33,0.092606,
0,34,0.0909163,
0,35,0.088857,
0,36,0.0888677,
0,37,0.0882733,
0,38,0.087475,
0,39,0.0909717,
0,40,0.0936553,
0,41,0.0946087,
0,42,0.096275,
0,43,0.092493,
0,44,0.0857063,
0,45,0.0924987,
0,46,0.0943727,
0,47,0.096885,
0,48,0.0965593,
0,49,0.0961587,
0,50,0.0889907,
0,51,0.086944,
0,52,0.0882,
0,53,0.0926297,
0,54,0.086664,
0,55,0.0920263,
0,56,0.100622,
0,57,0.0863427,
0,58,0.08746,
0,59,0.0862317,
0,60,0.0891683,
0,61,0.08527,
0,62,0.0861767,
0,63,0.0871687,
0,64,0.08745,
0,65,0.0891707,
0,66,0.089493,
0,67,0.0885533,
0,68,0.0863283,
0,69,0.088056,
0,70,0.0908797,
0,71,0.0889613,
0,72,0.0912753,
0,73,0.092189,
0,74,0.0967597,
0,75,0.10246,
0,76,0.0967427,
0,77,0.0994553,
0,78,0.101419,
0,79,0.091635,
0,80,0.0891707,
0,81,0.091299,
0,82,0.0913343,
0,83,0.0894047,
0,84,0.086923,
0,85,0.0892253,
0,86,0.0904463,
0,87,0.088284,
0,88,0.0975877,
0,89,0.098929,
0,90,0.0993927,
0,91,0.0971713,
0,92,0.0944697,
0,93,0.0975153,
0,94,0.0953987,
0,95,0.0956607,
0,96,0.0966347,
0,97,0.0948203,
0,98,0.0971443,
0,99,0.0949913,
0,100,0.0945553,
0,101,0.094158,
0,102,0.092609,
0,103,0.093186,
0,104,0.090171,
0,105,0.0905617,
0,106,0.0894803,
0,107,0.0969913,
0,108,0.100787,
0,109,0.101928,
0,110,0.095949,
0,111,0.097102,
0,112,0.096211,
0,113,0.0921127,
0,114,0.0948283,
0,115,0.093788,
0,116,0.0900343,
0,117,0.092453,
0,118,0.0923697,
0,119,0.090342,
0,120,0.0890627,
0,121,0.0887823,
0,122,0.089179,
0,123,0.0874683,
0,124,0.085975,
0,125,0.086215,
0,126,0.0860273,
0,127,0.086649,
0,128,0.0866617,
0,129,0.08712,
0,130,0.0884127,
0,131,0.084534,
0,132,0.0873343,
0,133,0.085356,
0,134,0.0866043,
0,135,0.0853953,
0,136,0.089722,
0,137,0.0882467,
0,138,0.0895613,
0,139,0.0881263,
0,140,0.0862807,
0,141,0.0883217,
0,142,0.0877757,
0,143,0.0877567,
0,144,0.0858413,
0,145,0.0905013,
0,146,0.0879453,
0,147,0.088051,
0,148,0.0867673,
0,149,0.0865303,
0,150,0.0894703,
