piid,round,readings
0,0,0.0610473,
0,1,0.0622748,
0,2,0.0653393,
0,3,0.06382,
0,4,0.0606554,
0,5,0.0630722,
0,6,0.0615952,
0,7,0.0639284,
0,8,0.0617698,
0,9,0.0643241,
0,10,0.0567059,
0,11,0.0593333,
0,12,0.0594146,
0,13,0.0617837,
0,14,0.0605355,
0,15,0.0619147,
0,16,0.0588817,
0,17,0.0595418,
0,18,0.0578442,
0,19,0.0577965,
0,20,0.0596354,
0,21,0.0587333,
0,22,0.057728,
0,23,0.05859,
0,24,0.055881,
0,25,0.0578693,
0,26,0.0585347,
0,27,0.05987,
0,28,0.0592102,
0,29,0.0583843,
0,30,0.0574728,
0,31,0.0574329,
0,32,0.058679,
0,33,0.0593686,
0,34,0.0605621,
0,35,0.0577373,
0,36,0.0562881,
0,37,0.0572162,
0,38,0.0590698,
0,39,0.0573769,
0,40,0.0571977,
0,41,0.0600061,
0,42,0.0620155,
0,43,0.0601949,
0,44,0.0609201,
0,45,0.0592222,
0,46,0.0610578,
0,47,0.0605154,
0,48,0.0620938,
0,49,0.0663177,
0,50,0.0689626,
0,51,0.07018,
0,52,0.0627199,
0,53,0.0641441,
0,54,0.0694634,
0,55,0.0712826,
0,56,0.0632222,
0,57,0.0652846,
0,58,0.0616272,
0,59,0.0624181,
0,60,0.0835299,
0,61,0.0716337,
0,62,0.0593077,
0,63,0.0606293,
0,64,0.0635573,
0,65,0.0610735,
0,66,0.060562,
0,67,0.0619988,
0,68,0.059254,
0,69,0.0610952,
0,70,0.0585298,
0,71,0.0623313,
0,72,0.0591204,
0,73,0.0603644,
0,74,0.0606388,
0,75,0.0611275,
0,76,0.0596195,
0,77,0.0616921,
0,78,0.0636493,
0,79,0.0604203,
0,80,0.0580112,
0,81,0.0579177,
0,82,0.0578878,
0,83,0.0575603,
0,84,0.0564104,
0,85,0.0574057,
0,86,0.0583795,
0,87,0.0570216,
0,88,0.0597987,
0,89,0.0630184,
0,90,0.0616548,
0,91,0.0642358,
0,92,0.0649987,
0,93,0.0655498,
0,94,0.0598342,
0,95,0.0624397,
0,96,0.0623418,
0,97,0.0620548,
0,98,0.0632169,
0,99,0.0639722,
0,100,0.0625783,
0,101,0.0625283,
0,102,0.0647535,
0,103,0.0648492,
0,104,0.0648103,
0,105,0.0590499,
0,106,0.0598307,
0,107,0.0592203,
0,108,0.0617362,
0,109,0.0608474,
0,110,0.0590087,
0,111,0.0583691,
0,112,0.0595435,
0,113,0.0610617,
0,114,0.0616755,
0,115,0.0601522,
0,116,0.0596541,
0,117,0.0602202,
0,118,0.0585845,
0,119,0.060861,
0,120,0.0641689,
0,121,0.0625555,
0,122,0.0641035,
0,123,0.0611666,
0,124,0.0656449,
0,125,0.0640481,
0,126,0.0765218,
0,127,0.0635632,
0,128,0.0620839,
0,129,0.0627367,
0,130,0.0637482,
0,131,0.0591273,
0,132,0.0608353,
0,133,0.0580628,
0,134,0.0584168,
0,135,0.058143,
0,136,0.0649057,
0,137,0.0603392,
0,138,0.0625101,
0,139,0.0612238,
0,140,0.0593752,
0,141,0.0641583,
0,142,0.0622265,
0,143,0.0684632,
0,144,0.0621056,
0,145,0.0636851,
0,146,0.0653275,
0,147,0.0610365,
0,148,0.0645535,
0,149,0.0657,
0,150,0.0586307,
0,151,0.061481,
0,152,0.0634381,
0,153,0.0633981,
0,154,0.0581398,
0,155,0.0577503,
0,156,0.0592103,
0,157,0.0582387,
0,158,0.0578037,
0,159,0.0597904,
0,160,0.0610003,
0,161,0.0621339,
0,162,0.0627111,
0,163,0.0638548,
0,164,0.0662338,
0,165,0.0640229,
0,166,0.0631051,
0,167,0.0640841,
0,168,0.0614399,
0,169,0.0610413,
0,170,0.0640967,
0,171,0.0617515,
0,172,0.0659608,
0,173,0.0595717,
0,174,0.0601163,
0,175,0.0616081,
0,176,0.0595035,
0,177,0.0607577,
0,178,0.0584441,
0,179,0.0582413,
0,180,0.0595171,
0,181,0.0570805,
0,182,0.0567913,
0,183,0.0590065,
0,184,0.0595523,
0,185,0.0631854,
0,186,0.0630698,
0,187,0.0617569,
0,188,0.0626441,
0,189,0.0654326,
0,190,0.0680087,
0,191,0.067304,
0,192,0.0703474,
0,193,0.0705938,
0,194,0.0714771,
0,195,0.0651556,
0,196,0.0666425,
0,197,0.0635418,
0,198,0.0709246,
0,199,0.0642354,
0,200,0.0632198,
0,201,0.0620885,
0,202,0.0610112,
0,203,0.0613374,
0,204,0.0562015,
0,205,0.058346,
0,206,0.0600599,
0,207,0.0589269,
0,208,0.0626001,
0,209,0.066011,
0,210,0.0623069,
0,211,0.0637769,
0,212,0.0613702,
0,213,0.0633781,
0,214,0.0597119,
0,215,0.0614601,
0,216,0.060778,
0,217,0.0611717,
0,218,0.0628853,
0,219,0.0647875,
0,220,0.0639721,
0,221,0.0588229,
0,222,0.0605688,
0,223,0.0607314,
0,224,0.061434,
0,225,0.0603436,
0,226,0.062928,
0,227,0.0624123,
0,228,0.0603622,
0,229,0.0633328,
0,230,0.0615032,
0,231,0.0611251,
0,232,0.0627313,
0,233,0.0602972,
0,234,0.0608842,
0,235,0.0581424,
0,236,0.058953,
0,237,0.0589734,
0,238,0.0604528,
0,239,0.0681964,
0,240,0.0613843,
0,241,0.061272,
0,242,0.0652397,
