piid,round,readings
0,0,0.127698,
0,1,0.119281,
0,2,0.123052,
0,3,0.125392,
0,4,0.118533,
0,5,0.127749,
0,6,0.129039,
0,7,0.124487,
0,8,0.118928,
0,9,0.119766,
0,10,0.118769,
0,11,0.117968,
0,12,0.120537,
0,13,0.117326,
0,14,0.119111,
0,15,0.122441,
0,16,0.119192,
0,17,0.118526,
0,18,0.117869,
0,19,0.120017,
0,20,0.121792,
0,21,0.119975,
0,22,0.1181,
0,23,0.122257,
0,24,0.118459,
0,25,0.120048,
0,26,0.119556,
0,27,0.120888,
0,28,0.122957,
0,29,0.118098,
0,30,0.123303,
0,31,0.120771,
0,32,0.13015,
0,33,0.129314,
0,34,0.12956,
0,35,0.121524,
0,36,0.12332,
0,37,0.122029,
0,38,0.125781,
0,39,0.125228,
0,40,0.137946,
0,41,0.1285,
0,42,0.130342,
0,43,0.137036,
0,44,0.228414,
0,45,0.170049,
0,46,0.130957,
0,47,0.132895,
0,48,0.13602,
0,49,0.129997,
0,50,0.124946,
0,51,0.128227,
0,52,0.125822,
0,53,0.123838,
0,54,0.130232,
0,55,0.125304,
0,56,0.123343,
0,57,0.135098,
0,58,0.132643,
0,59,0.134053,
0,60,0.140531,
0,61,0.133291,
0,62,0.131188,
0,63,0.131792,
0,64,0.139546,
0,65,0.135305,
0,66,0.141608,
0,67,0.144324,
0,68,0.13777,
0,69,0.139613,
0,70,0.128969,
0,71,0.14751,
0,72,0.14308,
0,73,0.126128,
0,74,0.139448,
0,75,0.128376,
0,76,0.129814,
0,77,0.1308,
0,78,0.133702,
0,79,0.126188,
0,80,0.12979,
0,81,0.168307,
0,82,0.141816,
0,83,0.146804,
0,84,0.127198,
0,85,0.130865,
0,86,0.119069,
0,87,0.127276,
0,88,0.126356,
0,89,0.121952,
0,90,0.120662,
0,91,0.120354,
0,92,0.125316,
0,93,0.119619,
0,94,0.118925,
0,95,0.123847,
0,96,0.121697,
0,97,0.121104,
0,98,0.118146,
0,99,0.117541,
0,100,0.121864,
0,101,0.123823,
0,102,0.122816,
0,103,0.121185,
0,104,0.123008,
0,105,0.118429,
0,106,0.12055,
0,107,0.120339,
0,108,0.122186,
0,109,0.119877,
0,110,0.118814,
0,111,0.120069,
0,112,0.123965,
0,113,0.120342,
0,114,0.121028,
0,115,0.118365,
0,116,0.122617,
0,117,0.12006,
0,118,0.121763,
0,119,0.121938,
