round,work_amount,round_duration
0,0,110000000
1,0,110000000
2,0,100000000
3,0,110000000
4,0,110000000
5,0,110000000
6,0,110000000
7,0,110000000
8,0,120000000
9,0,110000000
10,0,110000000
11,0,120000000
12,0,120000000
13,0,110000000
14,0,110000000
15,0,110000000
16,0,110000000
17,0,110000000
18,0,100000000
19,0,110000000
20,0,100000000
21,0,110000000
22,0,110000000
23,0,110000000
24,0,110000000
25,0,120000000
26,0,110000000
27,0,120000000
28,0,110000000
29,0,120000000
30,0,110000000
31,0,120000000
32,0,120000000
33,0,110000000
34,0,110000000
35,0,120000000
36,0,110000000
37,0,120000000
38,0,110000000
39,0,120000000
40,0,110000000
41,0,120000000
42,0,110000000
43,0,120000000
44,0,120000000
45,0,110000000
46,0,110000000
47,0,110000000
48,0,110000000
49,0,110000000
50,0,120000000
51,0,110000000
52,0,100000000
53,0,110000000
54,0,110000000
55,0,110000000
56,0,110000000
57,0,110000000
58,0,110000000
59,0,120000000
60,0,120000000
61,0,110000000
62,0,110000000
63,0,110000000
64,0,110000000
65,0,110000000
66,0,120000000
67,0,110000000
68,0,100000000
69,0,110000000
70,0,100000000
71,0,110000000
72,0,100000000
73,0,110000000
74,0,110000000
75,0,110000000
76,0,110000000
77,0,110000000
78,0,110000000
79,0,110000000
80,0,110000000
81,0,110000000
82,0,110000000
83,0,110000000
84,0,110000000
85,0,110000000
86,0,110000000
87,0,110000000
88,0,110000000
89,0,110000000
90,0,120000000
91,0,100000000
92,0,110000000
93,0,110000000
94,0,110000000
95,0,110000000
96,0,110000000
97,0,110000000
98,0,110000000
99,0,100000000
100,0,110000000
101,0,110000000
102,0,100000000
103,0,110000000
104,0,110000000
105,0,100000000
106,0,100000000
107,0,100000000
108,0,110000000
109,0,100000000
110,0,110000000
111,0,100000000
112,0,110000000
113,0,100000000
114,0,110000000
115,0,100000000
116,0,110000000
117,0,110000000
118,0,150000000
119,0,100000000
120,0,110000000
121,0,110000000
122,0,100000000
123,0,110000000
124,0,110000000
125,0,110000000
126,0,100000000
127,0,120000000
128,0,110000000
129,0,110000000
130,0,110000000
131,0,120000000
132,0,120000000
133,0,110000000
134,0,110000000
135,0,110000000
136,0,120000000
137,0,110000000
138,0,110000000
139,0,120000000
140,0,110000000
