round,work_amount,round_duration
0,0,20000000
1,0,20000000
2,0,10000000
3,0,20000000
4,0,20000000
5,0,10000000
6,0,10000000
7,0,20000000
8,0,10000000
9,0,20000000
10,0,10000000
11,0,20000000
12,0,10000000
13,0,20000000
14,0,10000000
15,0,20000000
16,0,10000000
17,0,20000000
18,0,10000000
19,0,20000000
20,0,10000000
21,0,20000000
22,0,10000000
23,0,20000000
24,0,10000000
25,0,20000000
26,0,10000000
27,0,20000000
28,0,10000000
29,0,20000000
30,0,20000000
31,0,10000000
32,0,20000000
33,0,20000000
34,0,10000000
35,0,20000000
36,0,10000000
37,0,20000000
38,0,10000000
39,0,10000000
40,0,20000000
41,0,10000000
42,0,20000000
43,0,10000000
44,0,20000000
45,0,10000000
46,0,20000000
47,0,10000000
48,0,20000000
49,0,10000000
50,0,20000000
51,0,10000000
52,0,10000000
53,0,20000000
54,0,10000000
55,0,20000000
56,0,10000000
57,0,20000000
58,0,10000000
59,0,20000000
60,0,20000000
61,0,10000000
62,0,20000000
63,0,10000000
64,0,20000000
65,0,10000000
66,0,20000000
67,0,10000000
68,0,20000000
69,0,20000000
70,0,10000000
71,0,20000000
72,0,10000000
73,0,20000000
74,0,20000000
75,0,10000000
76,0,20000000
77,0,20000000
78,0,20000000
79,0,10000000
80,0,20000000
81,0,20000000
82,0,10000000
83,0,20000000
84,0,10000000
85,0,20000000
86,0,10000000
87,0,20000000
88,0,20000000
89,0,10000000
90,0,20000000
91,0,10000000
92,0,20000000
93,0,10000000
94,0,20000000
95,0,20000000
96,0,10000000
97,0,20000000
98,0,10000000
99,0,20000000
100,0,10000000
101,0,20000000
102,0,10000000
103,0,20000000
104,0,10000000
105,0,20000000
106,0,10000000
107,0,20000000
108,0,10000000
109,0,20000000
110,0,10000000
111,0,20000000
112,0,10000000
113,0,20000000
114,0,10000000
115,0,10000000
116,0,20000000
117,0,10000000
118,0,20000000
119,0,20000000
120,0,10000000
121,0,20000000
122,0,10000000
123,0,20000000
124,0,10000000
125,0,20000000
126,0,10000000
127,0,20000000
128,0,20000000
129,0,10000000
130,0,20000000
131,0,20000000
132,0,10000000
133,0,20000000
134,0,20000000
135,0,10000000
136,0,20000000
137,0,10000000
138,0,20000000
139,0,10000000
140,0,10000000
141,0,20000000
142,0,10000000
143,0,20000000
144,0,20000000
145,0,10000000
146,0,20000000
147,0,20000000
148,0,20000000
149,0,10000000
150,0,20000000
151,0,20000000
152,0,20000000
153,0,10000000
154,0,20000000
155,0,20000000
156,0,10000000
157,0,20000000
158,0,10000000
159,0,20000000
160,0,10000000
161,0,20000000
162,0,20000000
163,0,10000000
164,0,20000000
165,0,10000000
166,0,20000000
167,0,10000000
168,0,20000000
169,0,20000000
170,0,20000000
171,0,10000000
172,0,20000000
173,0,20000000
174,0,20000000
175,0,20000000
176,0,10000000
177,0,20000000
178,0,20000000
179,0,20000000
180,0,10000000
181,0,20000000
182,0,20000000
183,0,20000000
184,0,10000000
185,0,20000000
186,0,20000000
187,0,10000000
188,0,20000000
189,0,20000000
190,0,10000000
191,0,10000000
192,0,20000000
193,0,20000000
194,0,10000000
195,0,20000000
196,0,20000000
197,0,10000000
198,0,20000000
199,0,10000000
200,0,20000000
201,0,10000000
202,0,20000000
203,0,20000000
204,0,10000000
205,0,20000000
206,0,10000000
207,0,20000000
208,0,20000000
209,0,10000000
210,0,10000000
211,0,20000000
212,0,20000000
213,0,10000000
214,0,20000000
215,0,10000000
216,0,20000000
217,0,10000000
218,0,20000000
219,0,20000000
220,0,10000000
221,0,20000000
222,0,20000000
223,0,20000000
224,0,20000000
225,0,20000000
226,0,10000000
227,0,20000000
228,0,10000000
229,0,20000000
230,0,10000000
231,0,20000000
232,0,20000000
233,0,10000000
234,0,20000000
235,0,20000000
236,0,10000000
237,0,20000000
238,0,10000000
239,0,20000000
240,0,20000000
241,0,10000000
242,0,10000000
243,0,20000000
244,0,10000000
245,0,20000000
246,0,10000000
247,0,10000000
248,0,20000000
249,0,10000000
250,0,20000000
251,0,10000000
252,0,10000000
253,0,20000000
254,0,10000000
255,0,20000000
256,0,20000000
257,0,10000000
258,0,20000000
259,0,10000000
260,0,20000000
261,0,10000000
262,0,20000000
263,0,10000000
264,0,20000000
265,0,20000000
266,0,10000000
267,0,20000000
268,0,20000000
269,0,10000000
270,0,20000000
271,0,20000000
272,0,10000000
273,0,20000000
274,0,20000000
275,0,20000000
276,0,40000000
