piid,round,readings
0,0,0.026767,
0,1,0.0247307,
0,2,0.0272937,
0,3,0.0269124,
0,4,0.0268452,
0,5,0.0234667,
0,6,0.0235453,
0,7,0.0246225,
0,8,0.0229945,
0,9,0.0244235,
0,10,0.0229596,
0,11,0.0218358,
0,12,0.0268847,
0,13,0.0268786,
0,14,0.0273065,
0,15,0.0248168,
0,16,0.0243133,
0,17,0.0252353,
0,18,0.0240163,
0,19,0.0235914,
0,20,0.0253289,
0,21,0.0258468,
0,22,0.0239734,
0,23,0.0259135,
0,24,0.0253577,
0,25,0.0250724,
0,26,0.024145,
0,27,0.0250578,
0,28,0.0266072,
0,29,0.0267495,
0,30,0.0267648,
0,31,0.0262299,
0,32,0.0275428,
0,33,0.0261267,
0,34,0.025075,
0,35,0.0234641,
0,36,0.0261098,
0,37,0.0248263,
0,38,0.0253332,
0,39,0.0232172,
0,40,0.0237898,
0,41,0.0242034,
0,42,0.0250155,
0,43,0.0232228,
0,44,0.0253302,
0,45,0.0229897,
0,46,0.0232178,
0,47,0.0246628,
0,48,0.0234033,
0,49,0.0247574,
0,50,0.0247757,
0,51,0.0242162,
0,52,0.0220004,
0,53,0.0251889,
0,54,0.0230533,
0,55,0.0229692,
0,56,0.0238255,
0,57,0.0276795,
0,58,0.0261576,
0,59,0.0235376,
0,60,0.0275943,
0,61,0.0264409,
0,62,0.0263077,
0,63,0.0265142,
0,64,0.0251494,
0,65,0.0257896,
0,66,0.0246502,
0,67,0.0259658,
0,68,0.0258922,
0,69,0.0262652,
0,70,0.0273606,
0,71,0.025661,
0,72,0.02784,
0,73,0.0291313,
0,74,0.0258901,
0,75,0.027616,
0,76,0.0292302,
0,77,0.0274127,
0,78,0.0258715,
0,79,0.0271062,
0,80,0.0282368,
0,81,0.0276563,
0,82,0.0269062,
0,83,0.0263777,
0,84,0.0258281,
0,85,0.0257847,
0,86,0.0248429,
0,87,0.0258307,
0,88,0.0267431,
0,89,0.0246434,
0,90,0.0253589,
0,91,0.0259708,
0,92,0.0245046,
0,93,0.0256262,
0,94,0.0282272,
0,95,0.0241385,
0,96,0.0267276,
0,97,0.0238525,
0,98,0.0250672,
0,99,0.0255252,
0,100,0.0258964,
0,101,0.0241051,
0,102,0.0261078,
0,103,0.0238123,
0,104,0.0252047,
0,105,0.023501,
0,106,0.0236561,
0,107,0.0255801,
0,108,0.0229066,
0,109,0.0253895,
0,110,0.0243816,
0,111,0.0239518,
0,112,0.0232319,
0,113,0.0220822,
0,114,0.0234087,
0,115,0.0232737,
0,116,0.024193,
0,117,0.0244124,
0,118,0.0277013,
0,119,0.0256496,
0,120,0.0257723,
0,121,0.0245941,
0,122,0.0257707,
0,123,0.0253838,
0,124,0.0260466,
0,125,0.0252045,
0,126,0.0242439,
0,127,0.0257303,
0,128,0.0267369,
0,129,0.0269138,
0,130,0.0266838,
0,131,0.0297057,
0,132,0.0258943,
0,133,0.026917,
0,134,0.0261267,
0,135,0.0265039,
0,136,0.0252659,
0,137,0.0245994,
0,138,0.0257132,
0,139,0.0262137,
0,140,0.0246981,
0,141,0.0280965,
0,142,0.0270533,
0,143,0.0270277,
0,144,0.0279385,
0,145,0.0290297,
0,146,0.0274319,
0,147,0.0291673,
0,148,0.0290126,
0,149,0.0279793,
0,150,0.028615,
0,151,0.0282158,
0,152,0.028283,
0,153,0.0255999,
0,154,0.02677,
0,155,0.0283478,
0,156,0.025184,
0,157,0.025182,
0,158,0.026249,
0,159,0.0248761,
0,160,0.0253707,
0,161,0.0264933,
0,162,0.0273852,
0,163,0.0254557,
0,164,0.0259547,
0,165,0.0264013,
0,166,0.0240886,
0,167,0.0234624,
0,168,0.0284576,
0,169,0.0293643,
0,170,0.0309312,
0,171,0.0261103,
0,172,0.032213,
0,173,0.0297633,
0,174,0.027493,
0,175,0.0300273,
0,176,0.0263455,
0,177,0.0272977,
0,178,0.0309551,
0,179,0.0271093,
0,180,0.0285356,
0,181,0.0291191,
0,182,0.0278219,
0,183,0.0263636,
0,184,0.0275287,
0,185,0.0270167,
0,186,0.0248877,
0,187,0.0254491,
0,188,0.0257184,
