round,work_amount,round_duration
0,0,30000000
1,0,30000000
2,0,30000000
3,0,30000000
4,0,30000000
5,0,30000000
6,0,30000000
7,0,40000000
8,0,30000000
9,0,30000000
10,0,30000000
11,0,30000000
12,0,20000000
13,0,30000000
14,0,30000000
15,0,30000000
16,0,30000000
17,0,30000000
18,0,40000000
19,0,30000000
20,0,30000000
21,0,30000000
22,0,30000000
23,0,30000000
24,0,30000000
25,0,30000000
26,0,30000000
27,0,30000000
28,0,30000000
29,0,30000000
30,0,30000000
31,0,30000000
32,0,30000000
33,0,30000000
34,0,30000000
35,0,30000000
36,0,30000000
37,0,30000000
38,0,20000000
39,0,30000000
40,0,30000000
41,0,30000000
42,0,30000000
43,0,30000000
44,0,30000000
45,0,20000000
46,0,30000000
47,0,30000000
48,0,30000000
49,0,30000000
50,0,30000000
51,0,30000000
52,0,20000000
53,0,30000000
54,0,30000000
55,0,30000000
56,0,30000000
57,0,20000000
58,0,30000000
59,0,30000000
60,0,30000000
61,0,30000000
62,0,30000000
63,0,30000000
64,0,30000000
65,0,20000000
66,0,30000000
67,0,30000000
68,0,30000000
69,0,30000000
70,0,30000000
71,0,20000000
72,0,30000000
73,0,30000000
74,0,30000000
75,0,30000000
76,0,30000000
77,0,20000000
78,0,30000000
79,0,30000000
80,0,30000000
81,0,30000000
82,0,30000000
83,0,30000000
84,0,20000000
85,0,30000000
86,0,30000000
87,0,40000000
