piid,round,readings
0,0,0.0573946,
0,1,0.051298,
0,2,0.0530493,
0,3,0.0555892,
0,4,0.0549966,
0,5,0.0549377,
0,6,0.0557745,
0,7,0.0566085,
0,8,0.0533924,
0,9,0.0538652,
0,10,0.0539275,
0,11,0.0529987,
0,12,0.0509563,
0,13,0.0536265,
0,14,0.0514773,
0,15,0.0530654,
0,16,0.0544422,
0,17,0.0573932,
0,18,0.0561712,
0,19,0.0557018,
0,20,0.0552503,
0,21,0.0534211,
0,22,0.0535274,
0,23,0.0547963,
0,24,0.0538775,
0,25,0.0526868,
0,26,0.0567138,
0,27,0.0526357,
0,28,0.0539638,
0,29,0.05392,
0,30,0.0549618,
0,31,0.0564158,
0,32,0.0558966,
0,33,0.0538871,
0,34,0.0509142,
0,35,0.0533033,
0,36,0.0503786,
0,37,0.0518667,
0,38,0.0521846,
0,39,0.0504799,
0,40,0.0506612,
0,41,0.0551229,
0,42,0.0511272,
0,43,0.0527527,
0,44,0.051813,
0,45,0.0512532,
0,46,0.0510452,
0,47,0.0536956,
0,48,0.0517914,
0,49,0.050135,
0,50,0.0509256,
0,51,0.0519587,
0,52,0.0514433,
0,53,0.0512009,
0,54,0.0516443,
0,55,0.0510453,
0,56,0.0487966,
0,57,0.0503216,
0,58,0.0544338,
0,59,0.0535473,
0,60,0.0511962,
0,61,0.0515072,
0,62,0.050744,
0,63,0.051912,
0,64,0.0515038,
0,65,0.0507662,
0,66,0.0514013,
0,67,0.0502817,
0,68,0.0519618,
0,69,0.052519,
0,70,0.0500081,
0,71,0.0514749,
0,72,0.0504922,
0,73,0.0505353,
0,74,0.0504156,
0,75,0.0545263,
0,76,0.0501837,
0,77,0.0512744,
0,78,0.0515947,
0,79,0.0508602,
0,80,0.0498115,
0,81,0.0500387,
0,82,0.0534667,
0,83,0.0511773,
0,84,0.0511068,
0,85,0.0502609,
0,86,0.0510774,
0,87,0.0690497,
