piid,round,readings
0,0,0.0505172,
0,1,0.0509019,
0,2,0.0508093,
0,3,0.0514083,
0,4,0.0524867,
0,5,0.0540289,
0,6,0.0544104,
0,7,0.0527392,
0,8,0.055414,
0,9,0.0533766,
0,10,0.0560272,
0,11,0.0570757,
0,12,0.0884362,
0,13,0.0634237,
0,14,0.0571344,
0,15,0.0603303,
0,16,0.0557428,
0,17,0.0567127,
0,18,0.0559371,
0,19,0.0530943,
0,20,0.0534433,
0,21,0.0536786,
0,22,0.0557746,
0,23,0.053789,
0,24,0.0554028,
0,25,0.0529898,
0,26,0.0558166,
0,27,0.0530378,
0,28,0.0557335,
0,29,0.0572568,
0,30,0.0585205,
0,31,0.0554876,
0,32,0.0558016,
0,33,0.0553078,
0,34,0.054717,
0,35,0.0541954,
0,36,0.0533337,
0,37,0.0520803,
0,38,0.0516168,
0,39,0.0526586,
0,40,0.0527777,
0,41,0.0535412,
0,42,0.0534942,
0,43,0.0536166,
0,44,0.0523728,
0,45,0.0529091,
0,46,0.0504785,
0,47,0.0519271,
0,48,0.0505661,
0,49,0.051805,
0,50,0.0510611,
0,51,0.0517024,
0,52,0.0503398,
0,53,0.0502807,
0,54,0.0518827,
0,55,0.0525676,
0,56,0.0516383,
0,57,0.0512857,
0,58,0.0503497,
0,59,0.052775,
0,60,0.0526628,
0,61,0.0525898,
0,62,0.0515447,
0,63,0.0519129,
0,64,0.0545323,
0,65,0.0531213,
0,66,0.0553368,
0,67,0.0514223,
0,68,0.0530562,
0,69,0.0531301,
0,70,0.0519723,
0,71,0.0513523,
0,72,0.0512455,
0,73,0.0511052,
0,74,0.0511493,
0,75,0.0503412,
0,76,0.0498623,
0,77,0.0498437,
0,78,0.0507307,
0,79,0.0510327,
0,80,0.0511754,
0,81,0.0505128,
0,82,0.0504497,
0,83,0.0534442,
0,84,0.0522773,
0,85,0.0518847,
0,86,0.0533648,
0,87,0.0518443,
0,88,0.0520932,
0,89,0.0550224,
0,90,0.0517665,
0,91,0.0512552,
0,92,0.0526794,
0,93,0.0503206,
0,94,0.0526852,
0,95,0.0529753,
0,96,0.0513148,
0,97,0.0565563,
0,98,0.0528524,
0,99,0.0545202,
0,100,0.0524817,
0,101,0.0517512,
0,102,0.0505793,
0,103,0.0515261,
0,104,0.0526554,
0,105,0.0503596,
0,106,0.0525307,
0,107,0.0522738,
0,108,0.0517136,
0,109,0.0506363,
0,110,0.0509917,
0,111,0.0519349,
0,112,0.0519503,
0,113,0.0500532,
0,114,0.0507198,
0,115,0.0525975,
0,116,0.0516592,
0,117,0.0564055,
0,118,0.0556386,
0,119,0.0542686,
0,120,0.0553763,
0,121,0.0546592,
0,122,0.0549333,
0,123,0.055878,
0,124,0.05462,
0,125,0.0534338,
0,126,0.0513147,
0,127,0.0523899,
0,128,0.0555247,
0,129,0.0577363,
0,130,0.0540414,
0,131,0.0543856,
0,132,0.0541604,
0,133,0.052994,
0,134,0.0527033,
0,135,0.0524299,
0,136,0.0540229,
0,137,0.0528379,
0,138,0.0536988,
0,139,0.052339,
0,140,0.053556,
0,141,0.0545965,
0,142,0.0517318,
0,143,0.0529565,
0,144,0.0522536,
0,145,0.0513933,
0,146,0.0507232,
0,147,0.0508081,
0,148,0.0530759,
0,149,0.0505177,
0,150,0.0510517,
0,151,0.0523297,
0,152,0.0522382,
0,153,0.0504337,
0,154,0.0511341,
0,155,0.0573369,
0,156,0.0520743,
0,157,0.0525258,
0,158,0.0534755,
0,159,0.0522523,
0,160,0.0518682,
0,161,0.0543252,
0,162,0.0572215,
0,163,0.0562913,
0,164,0.0580865,
0,165,0.0584088,
0,166,0.0626012,
0,167,0.0591401,
0,168,0.0572221,
0,169,0.0557374,
0,170,0.0531358,
0,171,0.0570349,
0,172,0.0548852,
0,173,0.052952,
0,174,0.0548178,
0,175,0.102911,
