piid,round,readings
0,0,0.457044,
0,1,0.461658,
0,2,0.467691,
0,3,0.456647,
0,4,0.469625,
0,5,0.463929,
0,6,0.463525,
0,7,0.46528,
0,8,0.470042,
0,9,0.454422,
0,10,0.474023,
0,11,0.473795,
0,12,0.462727,
0,13,0.464389,
0,14,0.473999,
0,15,0.490764,
0,16,0.465963,
0,17,0.454548,
0,18,0.462103,
0,19,0.471677,
0,20,0.473372,
0,21,0.465742,
0,22,0.473073,
0,23,0.481348,
0,24,0.466589,
0,25,0.458291,
0,26,0.459397,
0,27,0.459492,
0,28,0.463947,
0,29,0.459074,
0,30,0.462986,
0,31,0.468011,
0,32,0.452316,
0,33,0.449085,
0,34,0.447612,
0,35,0.458258,
0,36,0.462216,
0,37,0.457913,
0,38,0.459042,
0,39,0.461889,
0,40,0.452188,
0,41,0.464935,
0,42,0.454189,
0,43,0.467178,
0,44,0.463312,
0,45,0.471059,
0,46,0.461388,
0,47,0.464825,
0,48,0.476974,
0,49,0.465053,
0,50,0.482598,
0,51,0.486996,
0,52,0.469043,
0,53,0.472396,
0,54,0.487574,
0,55,0.491294,
0,56,0.500909,
0,57,0.490997,
0,58,0.478642,
0,59,0.496991,
0,60,0.483739,
0,61,0.510335,
0,62,0.464553,
0,63,0.499314,
0,64,0.476056,
0,65,0.450898,
0,66,0.462185,
0,67,0.462562,
0,68,0.466619,
0,69,0.457423,
0,70,0.47568,
0,71,0.495198,
0,72,0.496468,
0,73,0.52641,
0,74,0.51456,
0,75,0.515765,
0,76,0.483993,
0,77,0.475981,
0,78,0.492735,
0,79,0.531535,
0,80,0.507643,
0,81,0.524709,
0,82,0.509223,
0,83,0.490337,
0,84,0.509702,
0,85,0.459646,
0,86,0.485693,
0,87,0.485143,
0,88,0.505295,
0,89,0.482916,
0,90,0.473227,
0,91,0.475232,
0,92,0.474801,
0,93,0.505264,
0,94,0.474487,
0,95,0.481454,
0,96,0.488132,
0,97,0.471757,
0,98,0.474231,
0,99,0.469243,
0,100,0.474393,
0,101,0.469046,
0,102,0.501063,
0,103,0.491781,
0,104,0.500079,
0,105,0.491466,
0,106,0.504444,
0,107,0.490014,
0,108,0.485959,
0,109,0.486912,
0,110,0.470184,
0,111,0.472087,
0,112,0.449893,
0,113,0.469234,
0,114,0.450528,
0,115,0.460262,
0,116,0.463063,
0,117,0.465182,
0,118,0.45769,
0,119,0.463078,
0,120,0.473631,
0,121,0.464378,
0,122,0.467948,
0,123,0.481588,
0,124,0.46947,
0,125,0.474632,
0,126,0.452688,
0,127,0.465877,
0,128,0.490875,
0,129,0.475193,
0,130,0.504924,
0,131,0.48552,
0,132,0.478818,
0,133,0.488862,
0,134,0.48216,
0,135,0.513553,
0,136,0.510742,
0,137,0.510103,
0,138,0.496865,
0,139,0.49282,
0,140,0.490232,
0,141,0.488057,
0,142,0.468419,
0,143,0.504651,
0,144,0.50716,
0,145,0.500629,
0,146,0.492113,
0,147,0.471657,
0,148,0.461582,
0,149,0.481288,
0,150,0.520761,
0,151,0.499792,
0,152,0.48543,
0,153,0.479253,
0,154,0.465737,
0,155,0.466673,
0,156,0.470734,
0,157,0.472689,
0,158,0.455879,
0,159,0.458829,
0,160,0.468459,
0,161,0.48118,
0,162,0.465167,
0,163,0.460445,
0,164,0.464878,
0,165,0.473817,
0,166,0.460607,
0,167,0.477069,
0,168,0.468734,
0,169,0.471117,
0,170,0.479333,
0,171,0.456417,
0,172,0.466421,
0,173,0.461692,
0,174,0.468437,
0,175,0.46006,
0,176,0.454353,
0,177,0.464941,
0,178,0.46139,
0,179,0.46599,
0,180,0.487045,
0,181,0.472788,
0,182,0.462679,
0,183,0.462059,
0,184,0.464599,
0,185,0.465798,
0,186,0.462666,
0,187,0.456338,
0,188,0.455323,
0,189,0.44876,
0,190,0.458725,
0,191,0.469934,
0,192,0.462907,
0,193,0.468056,
0,194,0.484703,
0,195,0.488146,
0,196,0.469737,
0,197,0.479002,
0,198,0.489537,
0,199,0.500804,
0,200,0.480171,
0,201,0.487554,
0,202,0.472508,
0,203,0.475036,
0,204,0.479674,
0,205,0.469672,
0,206,0.486481,
0,207,0.474244,
0,208,0.485683,
0,209,0.464077,
0,210,0.456807,
0,211,0.469824,
0,212,0.474602,
0,213,0.471902,
0,214,0.47521,
0,215,0.485367,
0,216,0.464394,
0,217,0.459496,
0,218,0.450421,
0,219,0.452875,
0,220,0.461934,
0,221,0.461171,
0,222,0.53326,
0,223,0.461169,
0,224,0.460032,
0,225,0.569377,
