piid,round,readings
0,0,0.0433033,
0,1,0.0406688,
0,2,0.0415007,
0,3,0.0404943,
0,4,0.0404887,
0,5,0.0399332,
0,6,0.0395906,
0,7,0.0416851,
0,8,0.0426453,
0,9,0.0427409,
0,10,0.0416056,
0,11,0.0444665,
0,12,0.0428053,
0,13,0.0427024,
0,14,0.042117,
0,15,0.042415,
0,16,0.0407333,
0,17,0.0415642,
0,18,0.0410627,
0,19,0.0421171,
0,20,0.0409044,
0,21,0.0403094,
0,22,0.0394168,
0,23,0.0391648,
0,24,0.0386778,
0,25,0.042961,
0,26,0.0425206,
0,27,0.0431326,
0,28,0.0427539,
0,29,0.0413733,
0,30,0.0410278,
0,31,0.0414169,
0,32,0.040432,
0,33,0.0389707,
0,34,0.0407667,
0,35,0.0409645,
0,36,0.0404161,
0,37,0.0432239,
0,38,0.0429365,
0,39,0.0419827,
0,40,0.0405128,
0,41,0.0415649,
0,42,0.0406408,
0,43,0.0408604,
0,44,0.0399653,
0,45,0.0422119,
0,46,0.0413474,
0,47,0.0413974,
0,48,0.0423214,
0,49,0.0407552,
0,50,0.0409096,
0,51,0.0403753,
0,52,0.0417996,
0,53,0.0420058,
0,54,0.0450342,
0,55,0.0449644,
0,56,0.0419503,
0,57,0.0418748,
0,58,0.0424357,
0,59,0.0428342,
0,60,0.0431097,
0,61,0.0454312,
0,62,0.045332,
0,63,0.0394393,
0,64,0.0449544,
0,65,0.0428048,
0,66,0.0425957,
0,67,0.0405348,
0,68,0.040621,
0,69,0.0396823,
0,70,0.0386829,
0,71,0.0424355,
0,72,0.0398819,
0,73,0.0401053,
0,74,0.0402455,
0,75,0.0394318,
0,76,0.0395963,
0,77,0.0385081,
0,78,0.0389375,
0,79,0.0394475,
0,80,0.0423064,
0,81,0.0407993,
0,82,0.0404409,
0,83,0.0403087,
0,84,0.0397998,
0,85,0.0383292,
0,86,0.0390902,
0,87,0.0403468,
0,88,0.0417502,
0,89,0.0409088,
0,90,0.0404951,
0,91,0.0415977,
0,92,0.0417916,
0,93,0.0412312,
0,94,0.0412842,
0,95,0.0409492,
0,96,0.0402288,
0,97,0.0406043,
0,98,0.0402578,
0,99,0.0397551,
0,100,0.0392199,
0,101,0.0389418,
0,102,0.0400877,
0,103,0.0398423,
0,104,0.0399243,
0,105,0.0393112,
0,106,0.0389506,
0,107,0.0389089,
0,108,0.0395392,
0,109,0.0398513,
0,110,0.0400726,
0,111,0.0404455,
0,112,0.0392729,
0,113,0.0399762,
0,114,0.0387482,
0,115,0.0401668,
0,116,0.0394893,
0,117,0.0399593,
0,118,0.0391509,
0,119,0.0404782,
0,120,0.0428873,
0,121,0.041791,
0,122,0.0418166,
0,123,0.0403521,
0,124,0.0404675,
0,125,0.0414262,
0,126,0.0427847,
0,127,0.0423507,
0,128,0.0433909,
0,129,0.0483986,
0,130,0.0453897,
0,131,0.0447413,
0,132,0.0427004,
0,133,0.0423653,
0,134,0.043085,
0,135,0.0430972,
0,136,0.0447404,
0,137,0.0438593,
0,138,0.0438456,
0,139,0.042506,
0,140,0.044602,
0,141,0.0426439,
0,142,0.0431778,
0,143,0.0415542,
0,144,0.0419899,
0,145,0.0408156,
0,146,0.0395207,
0,147,0.0394562,
0,148,0.0436375,
0,149,0.0432809,
0,150,0.0427193,
0,151,0.0449799,
0,152,0.0430787,
0,153,0.0416815,
0,154,0.0439432,
0,155,0.0425367,
0,156,0.0425693,
0,157,0.0422948,
0,158,0.0409545,
0,159,0.0436554,
0,160,0.0441134,
0,161,0.043685,
0,162,0.0425893,
0,163,0.041016,
0,164,0.0415086,
0,165,0.042226,
0,166,0.0422071,
0,167,0.0397963,
0,168,0.0440061,
0,169,0.0411855,
0,170,0.0421383,
0,171,0.0418255,
0,172,0.0418614,
0,173,0.0410625,
0,174,0.0386953,
0,175,0.0410276,
0,176,0.0407659,
0,177,0.0400806,
0,178,0.0411309,
0,179,0.041382,
0,180,0.0410693,
0,181,0.0411937,
0,182,0.0422508,
0,183,0.0403265,
0,184,0.0433859,
0,185,0.0429397,
0,186,0.0435194,
0,187,0.0881434,
