piid,round,readings
0,0,0.0285754,
0,1,0.0293329,
0,2,0.029124,
0,3,0.029803,
0,4,0.03024,
0,5,0.0290553,
0,6,0.0286943,
0,7,0.0291738,
0,8,0.0287542,
0,9,0.0308839,
0,10,0.0313325,
0,11,0.0298462,
0,12,0.0295378,
0,13,0.0303823,
0,14,0.0288307,
0,15,0.0292287,
0,16,0.0289911,
0,17,0.0284383,
0,18,0.0285611,
0,19,0.0285928,
0,20,0.0290847,
0,21,0.0285295,
0,22,0.0287058,
0,23,0.0287705,
0,24,0.0285198,
0,25,0.0292593,
0,26,0.0296023,
0,27,0.0284236,
0,28,0.0297677,
0,29,0.0292967,
0,30,0.0284812,
0,31,0.0292243,
0,32,0.0296086,
0,33,0.0289626,
0,34,0.0293978,
0,35,0.0284264,
0,36,0.0290823,
0,37,0.0295278,
0,38,0.0287751,
0,39,0.0285938,
0,40,0.0288539,
0,41,0.0292841,
0,42,0.0291483,
0,43,0.028858,
0,44,0.0287209,
0,45,0.0298212,
0,46,0.0290303,
0,47,0.0289608,
0,48,0.0301676,
0,49,0.0289222,
0,50,0.0293983,
0,51,0.0292441,
0,52,0.0300786,
0,53,0.0284963,
0,54,0.0299064,
0,55,0.0317792,
0,56,0.0309037,
0,57,0.0313683,
0,58,0.0296243,
0,59,0.0304211,
0,60,0.0297222,
0,61,0.0288664,
0,62,0.0288702,
0,63,0.0286177,
0,64,0.0279114,
0,65,0.0281314,
0,66,0.0293428,
0,67,0.0304706,
0,68,0.0286746,
0,69,0.0287315,
0,70,0.0288179,
0,71,0.0290818,
0,72,0.030158,
0,73,0.0302193,
0,74,0.0309223,
0,75,0.0309206,
0,76,0.0305027,
0,77,0.0307853,
0,78,0.0316149,
0,79,0.0297537,
0,80,0.0301643,
0,81,0.0287664,
0,82,0.0289892,
0,83,0.0288101,
0,84,0.0294288,
0,85,0.0301779,
0,86,0.029135,
0,87,0.0304059,
0,88,0.0299458,
0,89,0.0309332,
0,90,0.0291476,
0,91,0.0311669,
0,92,0.0291586,
0,93,0.0293216,
0,94,0.0320387,
0,95,0.0285133,
0,96,0.028764,
0,97,0.0290975,
0,98,0.0292164,
0,99,0.0291293,
0,100,0.0303127,
0,101,0.0290816,
0,102,0.0290342,
0,103,0.0287744,
0,104,0.0287034,
0,105,0.0287568,
0,106,0.0288608,
0,107,0.0285679,
0,108,0.028087,
0,109,0.0283251,
0,110,0.0287105,
0,111,0.0301153,
0,112,0.0295774,
0,113,0.0285821,
0,114,0.0289248,
0,115,0.0282908,
0,116,0.0280726,
0,117,0.0285338,
0,118,0.0287996,
0,119,0.0285212,
0,120,0.0290272,
0,121,0.0282657,
0,122,0.0285351,
0,123,0.0283552,
0,124,0.0285829,
0,125,0.0277497,
0,126,0.0288858,
0,127,0.0289291,
0,128,0.0292962,
0,129,0.0293034,
0,130,0.028551,
0,131,0.0286172,
0,132,0.0285554,
0,133,0.0286892,
0,134,0.0285963,
0,135,0.0280898,
0,136,0.0292917,
0,137,0.0281148,
0,138,0.0288103,
0,139,0.0282153,
0,140,0.0292586,
0,141,0.0287704,
0,142,0.0288093,
0,143,0.0284613,
0,144,0.0286036,
0,145,0.0293302,
0,146,0.0291684,
0,147,0.0284869,
0,148,0.0292148,
0,149,0.0294368,
