round,work_amount,round_duration
0,0,30000000
1,0,30000000
2,0,30000000
3,0,40000000
4,0,30000000
5,0,30000000
6,0,40000000
7,0,30000000
8,0,30000000
9,0,30000000
10,0,30000000
11,0,30000000
12,0,40000000
13,0,30000000
14,0,30000000
15,0,40000000
16,0,30000000
17,0,40000000
18,0,30000000
19,0,30000000
20,0,40000000
21,0,40000000
22,0,30000000
23,0,40000000
24,0,30000000
25,0,30000000
26,0,30000000
27,0,30000000
28,0,40000000
29,0,30000000
30,0,30000000
31,0,30000000
32,0,40000000
33,0,30000000
34,0,30000000
35,0,40000000
36,0,30000000
37,0,30000000
38,0,40000000
39,0,30000000
40,0,30000000
41,0,30000000
42,0,30000000
43,0,40000000
44,0,30000000
45,0,30000000
46,0,30000000
47,0,40000000
48,0,30000000
49,0,30000000
50,0,30000000
51,0,40000000
52,0,30000000
53,0,30000000
54,0,30000000
55,0,30000000
56,0,30000000
57,0,40000000
58,0,30000000
59,0,30000000
60,0,30000000
61,0,30000000
62,0,40000000
63,0,30000000
64,0,30000000
65,0,30000000
66,0,40000000
67,0,30000000
68,0,30000000
69,0,40000000
70,0,30000000
71,0,40000000
72,0,30000000
73,0,30000000
74,0,30000000
75,0,40000000
76,0,30000000
77,0,40000000
78,0,30000000
79,0,40000000
80,0,30000000
81,0,30000000
82,0,40000000
83,0,30000000
84,0,30000000
85,0,40000000
86,0,30000000
87,0,40000000
88,0,30000000
89,0,40000000
90,0,30000000
91,0,30000000
92,0,40000000
93,0,30000000
94,0,30000000
95,0,40000000
96,0,30000000
97,0,30000000
98,0,30000000
99,0,40000000
100,0,30000000
101,0,30000000
102,0,30000000
103,0,30000000
104,0,40000000
105,0,30000000
106,0,30000000
107,0,30000000
108,0,40000000
109,0,30000000
110,0,30000000
111,0,30000000
112,0,30000000
113,0,30000000
114,0,30000000
115,0,40000000
116,0,30000000
117,0,40000000
118,0,30000000
119,0,30000000
120,0,40000000
121,0,30000000
122,0,30000000
123,0,30000000
124,0,40000000
125,0,30000000
126,0,30000000
127,0,30000000
128,0,30000000
129,0,30000000
130,0,40000000
131,0,30000000
132,0,30000000
133,0,40000000
134,0,30000000
135,0,40000000
136,0,30000000
137,0,30000000
138,0,40000000
139,0,30000000
140,0,40000000
141,0,30000000
142,0,40000000
143,0,30000000
144,0,30000000
145,0,40000000
146,0,50000000
147,0,30000000
148,0,40000000
149,0,30000000
