piid,round,readings
0,0,0.0566776,
0,1,0.0569127,
0,2,0.0654753,
0,3,0.063114,
0,4,0.0619227,
0,5,0.0616858,
0,6,0.0621469,
0,7,0.0609985,
0,8,0.0599888,
0,9,0.0595321,
0,10,0.0585711,
0,11,0.0604989,
0,12,0.0624114,
0,13,0.0608496,
0,14,0.0621813,
0,15,0.0615425,
0,16,0.0608374,
0,17,0.0598532,
0,18,0.0641004,
0,19,0.0619684,
0,20,0.067081,
0,21,0.0677627,
0,22,0.0629935,
0,23,0.0593605,
0,24,0.0577262,
0,25,0.0604394,
0,26,0.0580125,
0,27,0.0582022,
0,28,0.0580752,
0,29,0.0601695,
0,30,0.0601028,
0,31,0.0592861,
0,32,0.0584848,
0,33,0.0622282,
0,34,0.0606915,
0,35,0.0610108,
0,36,0.0592355,
0,37,0.0597531,
0,38,0.060879,
0,39,0.0593319,
0,40,0.0586496,
0,41,0.0563152,
0,42,0.0583233,
0,43,0.0652793,
0,44,0.0633487,
0,45,0.0614596,
0,46,0.0603988,
0,47,0.0612785,
0,48,0.0596952,
0,49,0.0599729,
0,50,0.0582037,
0,51,0.0565802,
0,52,0.0557422,
0,53,0.0571249,
0,54,0.0568707,
0,55,0.0573864,
0,56,0.0583912,
0,57,0.0579097,
0,58,0.0581178,
0,59,0.0565587,
0,60,0.0566241,
0,61,0.0580664,
0,62,0.0602476,
0,63,0.058627,
0,64,0.0571643,
0,65,0.0588512,
0,66,0.0619788,
0,67,0.0623719,
0,68,0.0603904,
0,69,0.06426,
0,70,0.0634933,
0,71,0.0609842,
0,72,0.0617883,
0,73,0.0593668,
0,74,0.0593471,
0,75,0.0620263,
0,76,0.0623273,
0,77,0.0613161,
0,78,0.0628713,
0,79,0.0630633,
0,80,0.0589727,
0,81,0.0622886,
0,82,0.0610547,
0,83,0.0626501,
0,84,0.0631368,
0,85,0.063681,
0,86,0.0616812,
0,87,0.0666448,
0,88,0.0620849,
0,89,0.0606828,
0,90,0.0607009,
0,91,0.0609209,
0,92,0.0588592,
0,93,0.0602438,
0,94,0.0610012,
0,95,0.0617333,
0,96,0.059268,
0,97,0.0582527,
0,98,0.0568577,
0,99,0.0583076,
0,100,0.0571477,
0,101,0.0585198,
0,102,0.0575564,
0,103,0.0573509,
0,104,0.0584847,
0,105,0.0585693,
0,106,0.0581099,
0,107,0.0594005,
0,108,0.0639029,
0,109,0.0594507,
0,110,0.0583383,
0,111,0.0580604,
0,112,0.0591796,
0,113,0.0589886,
0,114,0.0589725,
0,115,0.0624868,
0,116,0.0610586,
0,117,0.0594715,
0,118,0.0607278,
0,119,0.0598672,
0,120,0.0608983,
0,121,0.0623752,
0,122,0.0586434,
0,123,0.0584708,
0,124,0.0596163,
0,125,0.0582578,
0,126,0.057286,
0,127,0.0558796,
0,128,0.0572225,
0,129,0.057123,
0,130,0.0583388,
0,131,0.0588447,
0,132,0.0594153,
0,133,0.0625107,
0,134,0.0663833,
0,135,0.0597564,
0,136,0.0597784,
0,137,0.0602215,
0,138,0.0612293,
0,139,0.062812,
0,140,0.0657163,
0,141,0.0634682,
0,142,0.0706844,
0,143,0.0632456,
0,144,0.065434,
0,145,0.0631403,
0,146,0.0989131,
0,147,0.058222,
0,148,0.0656239,
0,149,0.058055,
