round,work_amount,round_duration
0,0,10000000
1,0,0
2,0,10000000
3,0,0
4,0,10000000
5,0,10000000
6,0,0
7,0,10000000
8,0,10000000
9,0,0
10,0,10000000
11,0,0
12,0,10000000
13,0,0
14,0,10000000
15,0,10000000
16,0,10000000
17,0,0
18,0,10000000
19,0,0
20,0,10000000
21,0,10000000
22,0,0
23,0,10000000
24,0,0
25,0,10000000
26,0,10000000
27,0,0
28,0,10000000
29,0,0
30,0,10000000
31,0,10000000
32,0,0
33,0,10000000
34,0,0
35,0,10000000
36,0,10000000
37,0,0
38,0,10000000
39,0,0
40,0,10000000
41,0,0
42,0,10000000
43,0,10000000
44,0,0
45,0,10000000
46,0,0
47,0,10000000
48,0,10000000
49,0,0
50,0,10000000
51,0,0
52,0,10000000
53,0,10000000
54,0,0
55,0,10000000
56,0,0
57,0,10000000
58,0,0
59,0,10000000
60,0,10000000
61,0,0
62,0,10000000
63,0,0
64,0,10000000
65,0,10000000
66,0,0
67,0,10000000
68,0,0
69,0,10000000
70,0,10000000
71,0,0
72,0,10000000
73,0,0
74,0,10000000
75,0,10000000
76,0,0
77,0,10000000
78,0,0
79,0,10000000
80,0,10000000
81,0,0
82,0,10000000
83,0,0
84,0,10000000
85,0,10000000
86,0,0
87,0,10000000
88,0,0
89,0,10000000
90,0,0
91,0,0
92,0,10000000
93,0,0
94,0,10000000
95,0,0
96,0,10000000
97,0,10000000
98,0,0
99,0,10000000
100,0,10000000
101,0,0
102,0,10000000
103,0,0
104,0,10000000
105,0,10000000
106,0,0
107,0,10000000
108,0,0
109,0,10000000
110,0,10000000
111,0,0
112,0,10000000
113,0,0
114,0,10000000
115,0,10000000
116,0,0
117,0,10000000
118,0,0
119,0,10000000
