piid,round,readings
0,0,0.0239717,
0,1,0.0260207,
0,2,0.0224014,
0,3,0.0251373,
0,4,0.0250025,
0,5,0.0239474,
0,6,0.0253867,
0,7,0.0247792,
0,8,0.0264068,
0,9,0.0284793,
0,10,0.0305604,
0,11,0.0275672,
0,12,0.0265782,
0,13,0.0257669,
0,14,0.0301496,
0,15,0.0290456,
0,16,0.0301325,
0,17,0.0266461,
0,18,0.0256973,
0,19,0.025579,
0,20,0.0254377,
0,21,0.0277893,
0,22,0.0283981,
0,23,0.0244978,
0,24,0.0276651,
0,25,0.0255068,
0,26,0.0263178,
0,27,0.0255515,
0,28,0.024238,
0,29,0.0235283,
0,30,0.0270072,
0,31,0.0276708,
0,32,0.0265107,
0,33,0.0262097,
0,34,0.0268482,
0,35,0.0276722,
0,36,0.0276212,
0,37,0.0275214,
0,38,0.0250004,
0,39,0.0246709,
0,40,0.0270834,
0,41,0.0269023,
0,42,0.0234039,
0,43,0.0251882,
0,44,0.0233493,
0,45,0.0254483,
0,46,0.0243473,
0,47,0.0312537,
0,48,0.0251743,
0,49,0.0234148,
0,50,0.0253783,
0,51,0.0248126,
0,52,0.0248652,
0,53,0.0236284,
0,54,0.0251211,
0,55,0.0244947,
0,56,0.0237888,
0,57,0.0254836,
0,58,0.0239362,
0,59,0.0236175,
0,60,0.0256543,
0,61,0.0254331,
0,62,0.0256782,
0,63,0.0241347,
0,64,0.0235572,
0,65,0.0243198,
0,66,0.0239542,
0,67,0.0272767,
0,68,0.0265622,
0,69,0.0257579,
0,70,0.0253664,
0,71,0.0238522,
0,72,0.0241417,
0,73,0.0257073,
0,74,0.0238287,
0,75,0.0250124,
0,76,0.0227819,
0,77,0.0245525,
0,78,0.0235542,
0,79,0.0258087,
0,80,0.0248282,
0,81,0.0270429,
0,82,0.0268389,
0,83,0.0285028,
0,84,0.0254263,
0,85,0.0270798,
0,86,0.0254465,
0,87,0.0263372,
0,88,0.0252117,
0,89,0.0244082,
0,90,0.0246831,
0,91,0.0276323,
0,92,0.0251837,
0,93,0.0245348,
0,94,0.0245728,
0,95,0.0251878,
0,96,0.0249966,
0,97,0.0250666,
0,98,0.0251651,
0,99,0.0244238,
0,100,0.0248344,
0,101,0.0253183,
0,102,0.0243567,
0,103,0.026522,
0,104,0.0241301,
0,105,0.0240086,
0,106,0.0257105,
0,107,0.0256555,
0,108,0.0237293,
0,109,0.0255396,
0,110,0.0258927,
0,111,0.0258813,
0,112,0.0285209,
0,113,0.0268093,
0,114,0.0258627,
0,115,0.0261483,
0,116,0.0272186,
0,117,0.0245022,
0,118,0.0271076,
0,119,0.0276446,
0,120,0.0254189,
0,121,0.0281203,
0,122,0.0256071,
0,123,0.0243973,
0,124,0.0275097,
