round,work_amount,round_duration
0,0,10000000
1,0,0
2,0,10000000
3,0,10000000
4,0,10000000
5,0,10000000
6,0,10000000
7,0,0
8,0,10000000
9,0,10000000
10,0,10000000
11,0,10000000
12,0,0
13,0,10000000
14,0,10000000
15,0,10000000
16,0,10000000
17,0,10000000
18,0,10000000
19,0,0
20,0,10000000
21,0,10000000
22,0,10000000
23,0,10000000
24,0,10000000
25,0,10000000
26,0,0
27,0,10000000
28,0,10000000
29,0,10000000
30,0,10000000
31,0,0
32,0,10000000
33,0,10000000
34,0,10000000
35,0,10000000
36,0,10000000
37,0,0
38,0,10000000
39,0,10000000
40,0,10000000
41,0,10000000
42,0,10000000
43,0,0
44,0,10000000
45,0,10000000
46,0,10000000
47,0,10000000
48,0,0
49,0,10000000
50,0,10000000
51,0,10000000
52,0,10000000
53,0,0
54,0,10000000
55,0,10000000
56,0,10000000
57,0,10000000
58,0,10000000
59,0,0
60,0,10000000
61,0,10000000
62,0,10000000
63,0,10000000
64,0,0
65,0,10000000
66,0,10000000
67,0,10000000
68,0,10000000
69,0,10000000
70,0,10000000
71,0,0
72,0,10000000
73,0,10000000
74,0,10000000
75,0,10000000
76,0,0
77,0,10000000
78,0,10000000
79,0,10000000
80,0,10000000
81,0,10000000
82,0,0
83,0,0
84,0,10000000
85,0,10000000
86,0,10000000
87,0,10000000
88,0,10000000
89,0,0
90,0,10000000
91,0,10000000
92,0,10000000
93,0,10000000
94,0,10000000
95,0,0
96,0,10000000
97,0,10000000
98,0,10000000
99,0,10000000
100,0,10000000
101,0,10000000
102,0,0
103,0,10000000
104,0,10000000
105,0,10000000
106,0,10000000
107,0,10000000
108,0,0
109,0,10000000
110,0,10000000
111,0,10000000
112,0,10000000
113,0,10000000
114,0,0
115,0,10000000
116,0,10000000
117,0,10000000
118,0,10000000
119,0,10000000
120,0,10000000
121,0,10000000
122,0,0
123,0,10000000
124,0,10000000
125,0,10000000
126,0,10000000
127,0,10000000
128,0,10000000
129,0,0
130,0,10000000
131,0,10000000
132,0,10000000
133,0,10000000
134,0,10000000
135,0,10000000
136,0,10000000
137,0,0
138,0,10000000
139,0,10000000
140,0,10000000
141,0,10000000
142,0,10000000
143,0,10000000
144,0,10000000
145,0,0
146,0,10000000
147,0,10000000
148,0,10000000
149,0,10000000
150,0,10000000
151,0,10000000
152,0,10000000
153,0,10000000
154,0,10000000
155,0,10000000
156,0,0
157,0,10000000
158,0,10000000
159,0,10000000
160,0,10000000
161,0,10000000
162,0,10000000
163,0,10000000
164,0,10000000
165,0,0
166,0,10000000
167,0,10000000
168,0,10000000
169,0,10000000
170,0,10000000
171,0,10000000
172,0,10000000
173,0,10000000
174,0,0
175,0,10000000
176,0,10000000
177,0,10000000
178,0,10000000
179,0,10000000
