piid,round,readings
0,0,0.0011224,
0,1,0.00117362,
0,2,0.00113306,
0,3,0.0011434,
0,4,0.00112438,
0,5,0.00116998,
0,6,0.00115552,
0,7,0.00108925,
0,8,0.00113562,
0,9,0.001115,
0,10,0.00104533,
0,11,0.00106363,
0,12,0.00116197,
0,13,0.00105329,
0,14,0.00109168,
0,15,0.00129462,
0,16,0.00120295,
0,17,0.00126635,
0,18,0.00123324,
0,19,0.00121595,
0,20,0.00122968,
0,21,0.00122306,
0,22,0.00116464,
0,23,0.00117655,
0,24,0.0011639,
0,25,0.00120876,
0,26,0.00114849,
0,27,0.00120278,
0,28,0.00115437,
0,29,0.00118768,
0,30,0.00114568,
0,31,0.00116721,
0,32,0.00115372,
0,33,0.00113796,
0,34,0.00112689,
0,35,0.00110361,
0,36,0.00110923,
0,37,0.00113333,
0,38,0.00116438,
0,39,0.00120221,
0,40,0.00114928,
0,41,0.00111673,
0,42,0.00108708,
0,43,0.00108275,
0,44,0.00108112,
0,45,0.00115077,
0,46,0.00111637,
0,47,0.00111288,
0,48,0.00110159,
0,49,0.00107767,
0,50,0.00103619,
0,51,0.00106601,
0,52,0.00109873,
0,53,0.00104828,
0,54,0.00103621,
0,55,0.00111789,
0,56,0.00116392,
0,57,0.00105429,
0,58,0.00109691,
0,59,0.00124243,
0,60,0.00109122,
0,61,0.00104677,
0,62,0.00111784,
0,63,0.00109348,
0,64,0.00115009,
0,65,0.00116126,
0,66,0.00111271,
0,67,0.00104863,
0,68,0.00115263,
0,69,0.00111825,
0,70,0.00107402,
0,71,0.0010694,
0,72,0.00107985,
0,73,0.00106931,
0,74,0.00103503,
0,75,0.00106725,
0,76,0.00105349,
0,77,0.00118823,
0,78,0.0011857,
0,79,0.00113129,
0,80,0.00109653,
0,81,0.00108708,
0,82,0.00114966,
0,83,0.0011423,
0,84,0.00109512,
0,85,0.00104144,
0,86,0.00109563,
0,87,0.00104905,
0,88,0.00106573,
0,89,0.00105453,
0,90,0.00105797,
0,91,0.00110317,
0,92,0.00108884,
0,93,0.00113464,
0,94,0.0010649,
0,95,0.00112782,
0,96,0.00108694,
0,97,0.00110214,
0,98,0.00108897,
0,99,0.00112541,
0,100,0.00118369,
0,101,0.00108201,
0,102,0.00115512,
0,103,0.00108059,
0,104,0.00109592,
0,105,0.0010461,
0,106,0.00116787,
0,107,0.00124065,
0,108,0.00113488,
0,109,0.00110218,
0,110,0.00109636,
0,111,0.00122234,
0,112,0.00108891,
0,113,0.00107331,
0,114,0.00112636,
0,115,0.00112242,
0,116,0.00115839,
0,117,0.00119495,
0,118,0.00118761,
0,119,0.00130518,
0,120,0.00118383,
0,121,0.00123787,
0,122,0.00114778,
0,123,0.0011377,
0,124,0.00112088,
0,125,0.00112225,
0,126,0.00112581,
0,127,0.00117391,
0,128,0.00121567,
0,129,0.00120387,
0,130,0.00114246,
0,131,0.00118274,
0,132,0.00114501,
0,133,0.00113665,
0,134,0.00111349,
0,135,0.00120876,
0,136,0.00118723,
0,137,0.0011958,
0,138,0.00120479,
0,139,0.00122169,
0,140,0.00113338,
0,141,0.00115631,
0,142,0.00113186,
0,143,0.00112944,
0,144,0.00111901,
0,145,0.00109751,
0,146,0.00117309,
0,147,0.00128676,
0,148,0.00126675,
0,149,0.00120242,
0,150,0.00123236,
0,151,0.00118556,
0,152,0.00123741,
0,153,0.00113408,
0,154,0.00116795,
0,155,0.00131896,
0,156,0.00117744,
0,157,0.00110232,
0,158,0.00117989,
0,159,0.00119709,
0,160,0.00112682,
0,161,0.00122017,
0,162,0.00118488,
0,163,0.00113094,
0,164,0.00121338,
0,165,0.00117003,
0,166,0.0011527,
0,167,0.00122232,
0,168,0.00113668,
0,169,0.00118826,
0,170,0.00115931,
0,171,0.00120789,
0,172,0.00111091,
0,173,0.00108014,
0,174,0.00113976,
0,175,0.00114868,
0,176,0.00117313,
0,177,0.00114416,
0,178,0.00112699,
0,179,0.001316,
