piid,round,readings
0,0,0.131491,
0,1,0.134202,
0,2,0.129348,
0,3,0.133928,
0,4,0.130598,
0,5,0.129193,
0,6,0.130265,
0,7,0.130221,
0,8,0.12849,
0,9,0.12938,
0,10,0.128189,
0,11,0.130647,
0,12,0.129956,
0,13,0.133948,
0,14,0.130803,
0,15,0.130627,
0,16,0.128005,
0,17,0.127875,
0,18,0.129861,
0,19,0.129992,
0,20,0.128758,
0,21,0.125858,
0,22,0.130441,
0,23,0.130129,
0,24,0.129024,
0,25,0.12794,
0,26,0.131881,
0,27,0.131394,
0,28,0.136234,
0,29,0.134292,
0,30,0.129553,
0,31,0.126432,
0,32,0.128428,
0,33,0.130186,
0,34,0.127731,
0,35,0.129986,
0,36,0.128117,
0,37,0.129977,
0,38,0.129128,
0,39,0.132267,
0,40,0.129714,
0,41,0.126587,
0,42,0.129148,
0,43,0.129887,
0,44,0.134239,
0,45,0.132666,
0,46,0.133027,
0,47,0.130596,
0,48,0.129975,
0,49,0.1261,
0,50,0.130697,
0,51,0.127339,
0,52,0.129334,
0,53,0.132252,
0,54,0.133655,
0,55,0.12921,
0,56,0.133958,
0,57,0.12942,
0,58,0.129735,
0,59,0.129495,
0,60,0.13681,
0,61,0.138857,
0,62,0.13789,
0,63,0.138313,
0,64,0.136371,
0,65,0.141248,
0,66,0.149181,
0,67,0.135512,
0,68,0.138047,
0,69,0.136829,
0,70,0.133235,
0,71,0.136602,
0,72,0.138124,
0,73,0.148657,
0,74,0.14154,
0,75,0.137973,
0,76,0.14541,
0,77,0.135809,
0,78,0.132031,
0,79,0.134,
0,80,0.133759,
0,81,0.136275,
0,82,0.158777,
0,83,0.152844,
0,84,0.153698,
0,85,0.147825,
0,86,0.138515,
0,87,0.134015,
0,88,0.132515,
0,89,0.126255,
0,90,0.129793,
0,91,0.131833,
0,92,0.13609,
0,93,0.142971,
0,94,0.127135,
0,95,0.130707,
0,96,0.136662,
0,97,0.131524,
0,98,0.138721,
0,99,0.132448,
0,100,0.13579,
0,101,0.1378,
0,102,0.134496,
0,103,0.131306,
0,104,0.14555,
0,105,0.139344,
0,106,0.131475,
0,107,0.137795,
0,108,0.133043,
0,109,0.128104,
0,110,0.131169,
0,111,0.131237,
0,112,0.130042,
0,113,0.135164,
0,114,0.148007,
0,115,0.146198,
0,116,0.144142,
0,117,0.139733,
0,118,0.145352,
0,119,0.133946,
0,120,0.150146,
0,121,0.136305,
0,122,0.133505,
0,123,0.141293,
0,124,0.139206,
0,125,0.129512,
0,126,0.137079,
0,127,0.133794,
0,128,0.134345,
0,129,0.130657,
0,130,0.130222,
0,131,0.128812,
0,132,0.127238,
0,133,0.128231,
0,134,0.127684,
0,135,0.127598,
0,136,0.125788,
0,137,0.129744,
0,138,0.127742,
0,139,0.128865,
0,140,0.131698,
0,141,0.129742,
0,142,0.130038,
0,143,0.136793,
0,144,0.139978,
0,145,0.140232,
0,146,0.145288,
0,147,0.140939,
0,148,0.133785,
0,149,0.136803,
0,150,0.138509,
0,151,0.147282,
0,152,0.14289,
0,153,0.149334,
0,154,0.137942,
0,155,0.137463,
0,156,0.136446,
0,157,0.13637,
0,158,0.136423,
0,159,0.136411,
0,160,0.134144,
0,161,0.130883,
0,162,0.135612,
0,163,0.144083,
0,164,0.140811,
0,165,0.131567,
0,166,0.129637,
0,167,0.132622,
0,168,0.132186,
0,169,0.137768,
0,170,0.133721,
0,171,0.127736,
0,172,0.136115,
0,173,0.131271,
0,174,0.134968,
0,175,0.132196,
0,176,0.129221,
0,177,0.129011,
0,178,0.138691,
0,179,0.129391,
0,180,0.129695,
0,181,0.137813,
0,182,0.13148,
0,183,0.137409,
0,184,0.136391,
0,185,0.138663,
0,186,0.138482,
0,187,0.138072,
0,188,0.143506,
0,189,0.138745,
0,190,0.14033,
0,191,0.138213,
0,192,0.137957,
0,193,0.138526,
0,194,0.144041,
0,195,0.13706,
0,196,0.142432,
0,197,0.13892,
0,198,0.131243,
0,199,0.140075,
0,200,0.129047,
0,201,0.133493,
0,202,0.13534,
0,203,0.132145,
0,204,0.136334,
0,205,0.136896,
0,206,0.143919,
0,207,0.134893,
0,208,0.139369,
0,209,0.135714,
