piid,round,readings
0,0,0.05839,
0,1,0.0574468,
0,2,0.0572052,
0,3,0.0600348,
0,4,0.0580327,
0,5,0.0584423,
0,6,0.0591043,
0,7,0.0587998,
0,8,0.0617895,
0,9,0.0621768,
0,10,0.06175,
0,11,0.0602048,
0,12,0.0605783,
0,13,0.0584837,
0,14,0.0606935,
0,15,0.0606565,
0,16,0.0606777,
0,17,0.0586985,
0,18,0.0619043,
0,19,0.059244,
0,20,0.0597325,
0,21,0.0608172,
0,22,0.0590593,
0,23,0.0577298,
0,24,0.0583977,
0,25,0.061784,
0,26,0.0583015,
0,27,0.0583657,
0,28,0.0592697,
0,29,0.0589328,
0,30,0.062746,
0,31,0.059425,
0,32,0.059375,
0,33,0.0635837,
0,34,0.0599978,
0,35,0.0615738,
0,36,0.0629842,
0,37,0.0642767,
0,38,0.0685338,
0,39,0.0625843,
0,40,0.062771,
0,41,0.0586822,
0,42,0.0619767,
0,43,0.0619412,
0,44,0.0593188,
0,45,0.0628335,
0,46,0.0626263,
0,47,0.0619007,
0,48,0.058575,
0,49,0.0585902,
0,50,0.0592975,
0,51,0.0586638,
0,52,0.0574488,
0,53,0.06067,
0,54,0.060025,
0,55,0.0621745,
0,56,0.0607697,
0,57,0.0628248,
0,58,0.0627695,
0,59,0.0575923,
0,60,0.0586805,
0,61,0.0589477,
0,62,0.059177,
0,63,0.0581025,
0,64,0.059602,
0,65,0.0598418,
0,66,0.0606875,
0,67,0.0628957,
0,68,0.0613475,
0,69,0.0624573,
0,70,0.0624698,
0,71,0.0651083,
0,72,0.0586167,
0,73,0.0606025,
0,74,0.0621545,
0,75,0.0583028,
0,76,0.0592892,
0,77,0.0600887,
0,78,0.0595853,
0,79,0.059844,
0,80,0.0592483,
0,81,0.0605185,
0,82,0.061415,
0,83,0.063486,
0,84,0.059066,
0,85,0.0601015,
0,86,0.057462,
0,87,0.0594448,
0,88,0.0590215,
0,89,0.0583445,
0,90,0.062121,
0,91,0.057962,
0,92,0.0581962,
0,93,0.0573338,
0,94,0.0576688,
0,95,0.0581238,
0,96,0.0575362,
0,97,0.0575713,
0,98,0.0586675,
0,99,0.0591315,
0,100,0.0590505,
0,101,0.0580388,
0,102,0.0598262,
0,103,0.0586502,
0,104,0.059079,
0,105,0.0589482,
0,106,0.0584168,
0,107,0.0583073,
0,108,0.0578695,
0,109,0.0608003,
0,110,0.0578313,
0,111,0.0589715,
0,112,0.0582027,
0,113,0.0580097,
0,114,0.058854,
0,115,0.0581732,
0,116,0.0597518,
0,117,0.05779,
0,118,0.0579592,
0,119,0.0573193,
