piid,round,readings
0,0,0.144714,
0,1,0.140301,
0,2,0.144679,
0,3,0.13989,
0,4,0.156945,
0,5,0.149512,
0,6,0.143995,
0,7,0.142928,
0,8,0.143884,
0,9,0.144547,
0,10,0.145977,
0,11,0.147173,
0,12,0.154568,
0,13,0.165883,
0,14,0.160214,
0,15,0.148775,
0,16,0.157783,
0,17,0.157461,
0,18,0.154345,
0,19,0.150767,
0,20,0.144664,
0,21,0.150333,
0,22,0.143699,
0,23,0.146427,
0,24,0.147946,
0,25,0.157419,
0,26,0.15709,
0,27,0.15464,
0,28,0.151103,
0,29,0.156587,
0,30,0.191025,
0,31,0.238312,
0,32,0.152283,
0,33,0.145509,
0,34,0.148039,
0,35,0.153485,
0,36,0.146016,
0,37,0.143132,
0,38,0.143231,
0,39,0.142808,
0,40,0.143265,
0,41,0.152027,
0,42,0.142154,
0,43,0.14207,
0,44,0.143366,
0,45,0.142091,
0,46,0.141407,
0,47,0.141324,
0,48,0.144534,
0,49,0.143143,
0,50,0.145559,
0,51,0.140968,
0,52,0.1406,
0,53,0.138372,
0,54,0.141063,
0,55,0.136971,
0,56,0.141534,
0,57,0.141075,
0,58,0.141906,
0,59,0.147917,
0,60,0.145307,
0,61,0.153994,
0,62,0.146948,
0,63,0.149612,
0,64,0.145406,
0,65,0.149549,
0,66,0.157432,
0,67,0.155121,
0,68,0.149443,
0,69,0.146934,
0,70,0.146326,
0,71,0.147058,
0,72,0.15525,
0,73,0.155875,
0,74,0.159809,
0,75,0.165184,
0,76,0.153749,
0,77,0.147273,
0,78,0.144929,
0,79,0.147296,
0,80,0.147121,
0,81,0.173329,
0,82,0.161579,
0,83,0.161553,
0,84,0.156185,
0,85,0.156829,
0,86,0.154058,
0,87,0.154852,
0,88,0.150136,
0,89,0.15145,
0,90,0.149137,
0,91,0.147525,
0,92,0.147981,
0,93,0.145022,
0,94,0.14287,
0,95,0.13943,
0,96,0.145901,
0,97,0.147144,
0,98,0.151251,
0,99,0.155717,
0,100,0.151822,
0,101,0.157855,
0,102,0.150469,
0,103,0.156451,
0,104,0.147821,
0,105,0.146426,
0,106,0.15052,
0,107,0.149885,
0,108,0.166487,
0,109,0.155594,
0,110,0.154195,
0,111,0.15531,
0,112,0.152517,
0,113,0.151512,
0,114,0.158365,
0,115,0.152781,
0,116,0.151738,
0,117,0.146599,
0,118,0.156704,
0,119,0.146195,
0,120,0.15452,
0,121,0.149502,
0,122,0.140748,
0,123,0.14227,
0,124,0.14597,
0,125,0.141391,
0,126,0.14499,
0,127,0.144337,
0,128,0.147862,
0,129,0.140731,
0,130,0.144017,
0,131,0.147467,
0,132,0.151878,
0,133,0.160927,
0,134,0.148363,
0,135,0.148493,
0,136,0.160938,
0,137,0.145352,
0,138,0.153821,
0,139,0.145204,
0,140,0.159895,
0,141,0.173216,
0,142,0.164217,
0,143,0.158104,
0,144,0.149652,
0,145,0.155699,
0,146,0.152743,
0,147,0.154485,
0,148,0.172912,
0,149,0.15624,
0,150,0.15202,
0,151,0.154975,
0,152,0.159657,
0,153,0.159032,
0,154,0.160627,
0,155,0.151986,
0,156,0.151172,
0,157,0.153411,
0,158,0.153037,
0,159,0.159475,
0,160,0.155027,
0,161,0.172274,
0,162,0.160758,
0,163,0.147705,
0,164,0.145052,
0,165,0.142671,
0,166,0.143825,
0,167,0.14621,
0,168,0.15239,
0,169,0.148245,
0,170,0.151319,
0,171,0.149506,
0,172,0.143819,
0,173,0.157824,
0,174,0.154156,
0,175,0.165451,
0,176,0.158429,
0,177,0.161383,
0,178,0.149083,
0,179,0.153917,
0,180,0.154352,
0,181,0.149887,
0,182,0.144796,
0,183,0.161151,
0,184,0.150333,
0,185,0.154597,
0,186,0.160941,
0,187,0.149173,
0,188,0.147351,
0,189,0.154341,
0,190,0.166011,
0,191,0.158573,
0,192,0.14826,
0,193,0.157354,
0,194,0.150082,
0,195,0.148173,
0,196,0.150951,
0,197,0.150013,
0,198,0.162516,
0,199,0.149697,
0,200,0.142858,
0,201,0.1486,
0,202,0.142367,
0,203,0.143849,
0,204,0.144275,
0,205,0.151545,
0,206,0.149571,
0,207,0.144039,
0,208,0.143507,
0,209,0.148585,
0,210,0.14501,
0,211,0.15477,
0,212,0.152933,
0,213,0.155298,
0,214,0.152379,
0,215,0.153282,
0,216,0.150519,
0,217,0.148399,
0,218,0.155629,
0,219,0.162427,
0,220,0.15838,
0,221,0.156418,
0,222,0.156039,
0,223,0.146548,
0,224,0.154924,
0,225,0.151326,
0,226,0.161419,
0,227,0.148505,
0,228,0.150946,
0,229,0.160429,
0,230,0.153306,
0,231,0.147443,
0,232,0.149842,
0,233,0.153554,
0,234,0.147338,
0,235,0.157538,
0,236,0.157591,
0,237,0.156832,
0,238,0.150991,
0,239,0.144879,
