piid,round,readings
0,0,0.00311653,
0,1,0.00316507,
0,2,0.00303057,
0,3,0.00322157,
0,4,0.0033513,
0,5,0.0032126,
0,6,0.0031203,
0,7,0.00343847,
0,8,0.00344263,
0,9,0.00335067,
0,10,0.00327627,
0,11,0.0033533,
0,12,0.00313887,
0,13,0.00299267,
0,14,0.00329287,
0,15,0.00309663,
0,16,0.0031904,
0,17,0.00315273,
0,18,0.00325103,
0,19,0.0036429,
0,20,0.00322477,
0,21,0.0034243,
0,22,0.00357963,
0,23,0.0038507,
0,24,0.0034733,
0,25,0.00347373,
0,26,0.00300187,
0,27,0.00296447,
0,28,0.00304257,
0,29,0.00334693,
0,30,0.00324883,
0,31,0.0032659,
0,32,0.0030227,
0,33,0.0031812,
0,34,0.00314463,
0,35,0.00328757,
0,36,0.0035329,
0,37,0.0031903,
0,38,0.00284613,
0,39,0.0028985,
0,40,0.00321907,
0,41,0.0031809,
0,42,0.00311653,
0,43,0.00334327,
0,44,0.00361417,
0,45,0.00338343,
0,46,0.00305197,
0,47,0.00304957,
0,48,0.0030488,
0,49,0.00321253,
0,50,0.00357827,
0,51,0.0034435,
0,52,0.0030914,
0,53,0.0030496,
0,54,0.0030649,
0,55,0.0032077,
0,56,0.0033022,
0,57,0.00302993,
0,58,0.00307433,
0,59,0.0033748,
0,60,0.00326467,
0,61,0.00318197,
0,62,0.00341203,
0,63,0.00303687,
0,64,0.0029809,
0,65,0.00301223,
0,66,0.00307817,
0,67,0.00325033,
0,68,0.0029424,
0,69,0.00298837,
0,70,0.00297403,
0,71,0.003047,
0,72,0.00303643,
0,73,0.0028161,
0,74,0.00289017,
0,75,0.00308683,
0,76,0.00346527,
0,77,0.00314787,
0,78,0.00294857,
0,79,0.00306307,
0,80,0.00314037,
0,81,0.00318547,
0,82,0.0030497,
0,83,0.00295643,
0,84,0.00302823,
0,85,0.00313027,
0,86,0.00296423,
0,87,0.00296987,
0,88,0.00288913,
0,89,0.00304817,
0,90,0.00302203,
0,91,0.00291627,
0,92,0.00324067,
0,93,0.00311453,
0,94,0.00307263,
0,95,0.00315337,
0,96,0.0029667,
0,97,0.00299643,
0,98,0.00298983,
0,99,0.00299337,
0,100,0.00321867,
0,101,0.0029589,
0,102,0.00323387,
0,103,0.00311883,
0,104,0.0030694,
0,105,0.0031224,
0,106,0.0031918,
0,107,0.00287423,
0,108,0.00307947,
0,109,0.00297433,
0,110,0.0030047,
0,111,0.00297997,
0,112,0.0029002,
0,113,0.00303237,
0,114,0.00287407,
0,115,0.00287747,
0,116,0.00302103,
0,117,0.00291443,
0,118,0.00310983,
0,119,0.00312133,
