round,work_amount,round_duration
0,0,0
1,0,10000000
2,0,10000000
3,0,0
4,0,10000000
5,0,10000000
6,0,0
7,0,10000000
8,0,10000000
9,0,10000000
10,0,0
11,0,10000000
12,0,10000000
13,0,0
14,0,10000000
15,0,10000000
16,0,0
17,0,10000000
18,0,10000000
19,0,10000000
20,0,0
21,0,10000000
22,0,10000000
23,0,10000000
24,0,0
25,0,10000000
26,0,10000000
27,0,0
28,0,10000000
29,0,10000000
30,0,0
31,0,10000000
32,0,10000000
33,0,0
34,0,10000000
35,0,10000000
36,0,10000000
37,0,0
38,0,10000000
39,0,10000000
40,0,0
41,0,10000000
42,0,10000000
43,0,0
44,0,0
45,0,10000000
46,0,10000000
47,0,0
48,0,10000000
49,0,10000000
50,0,10000000
51,0,0
52,0,10000000
53,0,10000000
54,0,0
55,0,10000000
56,0,10000000
57,0,0
58,0,10000000
59,0,10000000
60,0,0
61,0,10000000
62,0,10000000
63,0,10000000
64,0,0
65,0,10000000
66,0,0
67,0,10000000
68,0,10000000
69,0,0
70,0,10000000
71,0,10000000
72,0,0
73,0,10000000
74,0,10000000
75,0,0
76,0,10000000
77,0,10000000
78,0,0
79,0,10000000
80,0,10000000
81,0,0
82,0,10000000
83,0,10000000
84,0,0
85,0,10000000
86,0,10000000
87,0,0
88,0,10000000
89,0,10000000
90,0,0
91,0,10000000
92,0,10000000
93,0,0
94,0,10000000
95,0,10000000
96,0,0
97,0,10000000
98,0,0
99,0,10000000
100,0,10000000
101,0,0
102,0,10000000
103,0,10000000
104,0,0
105,0,10000000
106,0,10000000
107,0,0
108,0,10000000
109,0,10000000
110,0,0
111,0,10000000
112,0,10000000
113,0,0
114,0,10000000
115,0,0
116,0,10000000
117,0,10000000
118,0,0
119,0,10000000
