round,work_amount,round_duration
0,0,60000000
1,0,60000000
2,0,50000000
3,0,60000000
4,0,60000000
5,0,60000000
6,0,50000000
7,0,60000000
8,0,50000000
9,0,60000000
10,0,50000000
11,0,50000000
12,0,60000000
13,0,50000000
14,0,50000000
15,0,50000000
16,0,60000000
17,0,50000000
18,0,60000000
19,0,50000000
20,0,60000000
21,0,60000000
22,0,60000000
23,0,50000000
24,0,60000000
25,0,60000000
26,0,60000000
27,0,50000000
28,0,50000000
29,0,60000000
30,0,50000000
31,0,50000000
32,0,60000000
33,0,60000000
34,0,60000000
35,0,60000000
36,0,60000000
37,0,50000000
38,0,60000000
39,0,50000000
40,0,50000000
41,0,60000000
42,0,50000000
43,0,60000000
44,0,60000000
45,0,60000000
46,0,60000000
47,0,60000000
48,0,60000000
49,0,50000000
50,0,60000000
51,0,50000000
52,0,60000000
53,0,50000000
54,0,50000000
55,0,50000000
56,0,60000000
57,0,60000000
58,0,50000000
59,0,50000000
60,0,50000000
61,0,60000000
62,0,50000000
63,0,50000000
64,0,50000000
65,0,60000000
66,0,60000000
67,0,50000000
68,0,60000000
69,0,60000000
70,0,50000000
71,0,50000000
72,0,50000000
73,0,60000000
74,0,50000000
75,0,60000000
76,0,50000000
77,0,60000000
78,0,50000000
79,0,60000000
80,0,50000000
81,0,60000000
82,0,60000000
83,0,50000000
84,0,70000000
85,0,60000000
86,0,60000000
87,0,50000000
88,0,60000000
89,0,60000000
90,0,50000000
91,0,60000000
92,0,60000000
93,0,60000000
94,0,60000000
95,0,60000000
96,0,60000000
97,0,60000000
98,0,60000000
99,0,50000000
100,0,50000000
101,0,60000000
102,0,60000000
103,0,60000000
104,0,60000000
105,0,60000000
106,0,50000000
107,0,60000000
108,0,70000000
109,0,70000000
110,0,60000000
111,0,60000000
112,0,60000000
113,0,60000000
114,0,50000000
115,0,60000000
116,0,50000000
117,0,60000000
118,0,50000000
119,0,50000000
120,0,60000000
121,0,60000000
122,0,60000000
123,0,50000000
124,0,60000000
125,0,50000000
126,0,60000000
127,0,50000000
128,0,50000000
129,0,50000000
130,0,60000000
131,0,50000000
132,0,60000000
133,0,50000000
134,0,60000000
135,0,60000000
136,0,50000000
137,0,60000000
138,0,60000000
139,0,90000000
140,0,70000000
141,0,60000000
142,0,50000000
143,0,60000000
144,0,60000000
145,0,60000000
146,0,70000000
147,0,50000000
148,0,60000000
149,0,50000000
150,0,70000000
151,0,50000000
152,0,60000000
153,0,60000000
154,0,70000000
155,0,60000000
156,0,60000000
157,0,70000000
158,0,60000000
159,0,60000000
160,0,60000000
161,0,60000000
162,0,50000000
163,0,60000000
164,0,50000000
165,0,60000000
166,0,60000000
167,0,50000000
168,0,60000000
169,0,60000000
170,0,50000000
171,0,60000000
172,0,60000000
173,0,60000000
174,0,60000000
175,0,50000000
176,0,50000000
177,0,50000000
178,0,60000000
179,0,60000000
180,0,50000000
181,0,60000000
182,0,50000000
183,0,60000000
184,0,50000000
185,0,60000000
186,0,60000000
187,0,60000000
188,0,50000000
189,0,70000000
190,0,50000000
191,0,60000000
192,0,50000000
193,0,60000000
194,0,60000000
195,0,50000000
196,0,60000000
197,0,60000000
198,0,60000000
199,0,50000000
200,0,60000000
201,0,60000000
202,0,50000000
203,0,60000000
204,0,50000000
205,0,50000000
206,0,60000000
207,0,50000000
208,0,60000000
209,0,50000000
