round,work_amount,round_duration
0,0,10000000
1,0,10000000
2,0,10000000
3,0,0
4,0,10000000
5,0,0
6,0,10000000
7,0,10000000
8,0,10000000
9,0,0
10,0,10000000
11,0,10000000
12,0,10000000
13,0,10000000
14,0,10000000
15,0,0
16,0,10000000
17,0,10000000
18,0,10000000
19,0,10000000
20,0,0
21,0,10000000
22,0,10000000
23,0,10000000
24,0,10000000
25,0,10000000
26,0,0
27,0,10000000
28,0,10000000
29,0,10000000
30,0,0
31,0,10000000
32,0,20000000
33,0,0
34,0,10000000
35,0,10000000
36,0,10000000
37,0,10000000
38,0,10000000
39,0,10000000
40,0,0
41,0,10000000
42,0,10000000
43,0,10000000
44,0,10000000
45,0,10000000
46,0,0
47,0,10000000
48,0,10000000
49,0,10000000
50,0,10000000
51,0,0
52,0,10000000
53,0,10000000
54,0,10000000
55,0,10000000
56,0,0
57,0,10000000
58,0,10000000
59,0,10000000
60,0,10000000
61,0,10000000
62,0,10000000
63,0,0
64,0,10000000
65,0,10000000
66,0,10000000
67,0,10000000
68,0,0
69,0,10000000
70,0,10000000
71,0,10000000
72,0,10000000
73,0,10000000
74,0,0
75,0,10000000
76,0,10000000
