piid,round,readings
0,0,0.00154212,
0,1,0.000214817,
0,2,0.00107058,
0,3,0.000576275,
0,4,0.000647025,
0,5,0.00103912,
0,6,0.000617992,
0,7,0.00146074,
0,8,0.0010555,
0,9,0.000939842,
0,10,0.00148626,
0,11,0.00098155,
0,12,0.00132203,
0,13,0.000616,
0,14,0.00151866,
0,15,0.00106633,
0,16,0.00106702,
0,17,0.00127216,
0,18,0.00103228,
0,19,0.00108693,
0,20,0.00109282,
0,21,0.00105707,
0,22,0.00109954,
0,23,0.00155525,
0,24,0.00115988,
0,25,0.00103335,
0,26,0.000636108,
0,27,0.000672475,
0,28,0.00118948,
0,29,0.00114083,
0,30,0.00106854,
0,31,0.00146823,
0,32,0.00155935,
0,33,0.00116914,
0,34,0.000661633,
0,35,0.00120205,
0,36,0.000982642,
0,37,0.00158073,
0,38,0.00104878,
0,39,0.00103112,
0,40,0.00066895,
0,41,0.00102783,
0,42,0.00151158,
0,43,0.00104952,
0,44,0.00099865,
0,45,0.00155839,
0,46,0.000694733,
0,47,0.00151179,
0,48,0.00111123,
0,49,0.00023335,
0,50,0.00107447,
0,51,0.000611725,
0,52,0.00111798,
0,53,0.000677883,
0,54,0.00143731,
0,55,0.00145924,
0,56,0.00108423,
0,57,0.000703575,
0,58,0.00114694,
0,59,0.00105803,
0,60,0.00154578,
0,61,0.00104837,
0,62,0.00156146,
0,63,0.00102248,
0,64,0.00156974,
0,65,0.000619667,
0,66,0.00101351,
0,67,0.00112823,
0,68,0.00115412,
0,69,0.000687242,
0,70,0.000661425,
0,71,0.00140885,
0,72,0.00109287,
0,73,0.00147898,
0,74,0.000992633,
0,75,0.000681067,
0,76,0.000599658,
